"unique_id","citation_context","citation_class_label"
"J07-1005_5","Although originally developed as a tool to assist in query formulation , @@CITATION@@ pointed out that PICO frames can be employed to structure IR results for improving precision .","BACKGROUND"
"W02-0309_3","There has been some controversy , at least for simple stemmers ( Lovins , 1968 ; Porter , 1980 ) , about the effectiveness of morphological analysis for document retrieval ( @@CITATION@@ ; Krovetz , 1993 ; Hull , 1996 ) .","BACKGROUND"
"E03-1002_3","in history-based models ( @@CITATION@@ ) , the probability estimate for each derivation decision di is conditioned on the previous derivation decisions d1 , ... , d , _ 1 , which is called the derivation history at step i .","USES"
"J97-4003_39","The reader is referred to @@CITATION@@ for a more detailed discussion of our use of constraint propagation .32 We illustrate the result of constraint propagation with our example grammar .","BACKGROUND"
"P02-1001_15","Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( Pereira and Riley , 1997 ) and machine translation ( @@CITATION@@ ) .","BACKGROUND"
"J09-4010_18","Such technologies require significant human input , and are difficult to create and maintain ( @@CITATION@@ ) .","BACKGROUND"
"K15-1003_10","We can define PCAT using a probabilistic grammar ( @@CITATION@@ ) .","BACKGROUND"
"W05-0709_29","It is these orthographic variations and complex morphological structure that make Arabic language processing challenging ( @@CITATION@@ ; Xu et al. , 2002 ) .","BACKGROUND"
"W01-0706_20","The first is the one used in the chunking competition in CoNLL-2000 ( Tjong Kim @@CITATION@@ ) .","USES"
"W01-1510_5","There have been many studies on parsing techniques ( Poller and Becker , 1998 ; Flickinger et al. , 2000 ) , ones on disambiguation models ( Chiang , 2000 ; @@CITATION@@ ) , and ones on programming/grammar-development environ -","BACKGROUND"
"W06-3309_10","For example , @@CITATION@@ experimented with abstracts and full article texts in the task of automatically generating index term recommendations and discovered that using full article texts yields at most a 7.4 % improvement in F-score .","BACKGROUND"
"W04-1805_10","The ten most specific nouns have been produced by comparing our corpus of computing to the French corpus Le Monde , composed of newspaper articles ( @@CITATION@@ ) .","USES"
"W06-1705_8","Secondly , we need to investigate techniques for identifying identical documents , virtually identical documents and highly repetitive documents , such as those pioneered by @@CITATION@@b ) and shingling techniques described by Chakrabarti ( 2002 ) .","FUTURE"
"E12-1068_18","Following the work of @@CITATION@@ , we implement a linear-chain CRF merging system using the following features : stemmed ( separated ) surface form , part-of-speech14 and frequencies from the training corpus for bigrams/merging of word and word +1 , word as true prefix , word +1 as true suffix , plus frequency comparisons of these .","USES"
"J05-3003_42","@@CITATION@@ attempts to improve on the approach of Brent ( 1993 ) by passing raw text through a stochastic tagger and a finite-state parser ( which includes a set of simple rules for subcategorization frame recognition ) in order to extract verbs and the constituents with which they co-occur .","BACKGROUND"
"W02-0309_0","From an IR view , a lot of specialized research has already been carried out for medical applications , with emphasis on the lexico-semantic aspects of dederivation and decomposition ( Pacak et al. , 1980 ; Norton and Pacak , 1983 ; Wolff , 1984 ; Wingert , 1985 ; Dujols et al. , 1991 ; @@CITATION@@ ) .","BACKGROUND"
"W01-0706_18","Rather than producing a complete analysis of sentences , the alternative is to perform only partial analysis of the syntactic structures in a text ( @@CITATION@@ ; Abney , 1991 ; Greffenstette , 1993 ) .","BACKGROUND"
"W01-0706_6","Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; @@CITATION@@a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .","BACKGROUND"
"J08-1003_62","Problems such as these have motivated research on more abstract , dependencybased parser evaluation ( e.g. , Lin 1995 ; Carroll , Briscoe , and Sanfilippo 1998 ; Carroll et al. 2002 ; Clark and Hockenmaier 2002 ; King et al. 2003 ; Preiss 2003 ; @@CITATION@@ ; Miyao and Tsujii 2004 ) .","MOTIVATION"
"P11-1134_14","They are widely used in MT as a way to figure out how to translate input in one language into output in another language ( @@CITATION@@ ) .","BACKGROUND"
"J04-3001_6","Further details about the properties of entropy can be found in textbooks on information theory ( e.g. , @@CITATION@@ ) .","BACKGROUND"
"J06-2002_10","@@CITATION@@ , for example , discussed the transcripts of a dialogue between people who assemble a piece of garden furniture ( originally recorded by Candy Sidner ) .","BACKGROUND"
"J10-3007_1","Here , PV ( A ) represents an ascent direction chosen as follows : For inequality constraints , it is the projected gradient ( @@CITATION@@ ) ; for equality constraints with slack , we use conjugate gradient ( Nocedal and Wright 1999 ) , noting that when A = 0 , the objective is not differentiable .","USES"
"D12-1037_28","Some methods are based on likelihood ( Och and Ney , 2002 ; Blunsom et al. , 2008 ) , error rate ( @@CITATION@@ ; Zhao and Chen , 2009 ; Pauls et al. , 2009 ; Galley and Quirk , 2011 ) , margin ( Watanabe et al. , 2007 ; Chiang et al. , 2008 ) and ranking ( Hopkins and May , 2011 ) , and among which minimum error rate training ( MERT ) ( Och , 2003 ) is the most popular one .","MOTIVATION"
"W06-3813_11","This idea was inspired by @@CITATION@@ , who used a list of arguments surrounding the main verb together with the verb 's subcategorization information and previously processed examples to analyse semantic roles ( case relations ) .","MOTIVATION"
"J91-2003_11",", `` domain circumscription '' ( cfXXX @@CITATION@@ ) , and their kin .","COMPARES_CONTRASTS"
"P07-1068_7","While these approaches have been reasonably successful ( see Mitkov ( 2002 ) ) , @@CITATION@@ speculate that deeper linguistic knowledge needs to be made available to resolvers in order to reach the next level of performance .","BACKGROUND"
"W01-1510_29","A parsing experiment shows that an efficient HPSG parser with the obtained grammar achieved a significant speed-up against an existing LTAG parser ( @@CITATION@@ ) .","COMPARES_CONTRASTS"
"N01-1003_1","Features were discovered from the actual sentence plan trees that the SPG generated through the feature derivation process described below , in a manner similar to that used by @@CITATION@@ .","COMPARES_CONTRASTS"
"P13-3018_12","Such questions are typically answered by designing appropriate priming experiments ( @@CITATION@@ ) or other lexical decision tasks .","BACKGROUND"
"N04-2004_22","The system is in the form of an agenda-driven chart-based parser whose foundation is similar to previous formalizations of Chomsky 's Minimalist Program ( @@CITATION@@ ; Harkema , 2000 ; Niyogi , 2001 ) .","COMPARES_CONTRASTS"
"J87-3002_20","@@CITATION@@ and Akkerman et al. ( 1985 ) provide a more detailed analysis of the information encoded by the LDOCE grammar codes and discuss their efficacy as a system of linguistic description .","BACKGROUND"
"J87-3002_27","The research described below is taking place in the context of three collaborative projects ( Boguraev , 1987 ; Russell et al. , 1986 ; @@CITATION@@ ) to develop a general-purpose , wide coverage morphological and syntactic analyser for English .","BACKGROUND"
"W05-0709_23","The EDR has close ties to the named entity recognition ( NER ) and coreference resolution tasks , which have been the focus of several recent investigations ( Bikel et al. , 1997 ; Miller et al. , 1998 ; Borthwick , 1999 ; Mikheev et al. , 1999 ; Soon et al. , 2001 ; @@CITATION@@ ; Florian et al. , 2004 ) , and have been at the center of evaluations such as : MUC-6 , MUC-7 , and the CoNLL '02 and CoNLL '03 shared tasks .","BACKGROUND"
"J06-2002_1","Viewed in this way , gradable adjectives are an extreme example of the `` efficiency of language '' ( @@CITATION@@ ) : Far from meaning something concrete like `` larger than 8 cm '' -- a concept that would have very limited applicability -- or even something more general like `` larger than the average N , '' a word like large is applicable across a wide range of different situations .","COMPARES_CONTRASTS"
"W01-0706_13","However , since work in this direction has started , a significant progress has also been made in the research on statistical learning of full parsers , both in terms of accuracy and processing time ( Charniak , 1997b ; Charniak , 1997a ; @@CITATION@@ ; Ratnaparkhi , 1997 ) .","BACKGROUND"
"W06-1104_18","It is defined on different kinds of textual units , e.g. documents , parts of a document ( e.g. words and their surrounding context ) , words or concepts ( @@CITATION@@ ) .2 Linguistic distance between words is inverse to their semantic similarity or relatedness .","BACKGROUND"
"W03-0806_21","However , the greatest increase is in the amount of raw text available to be processed , e.g. the English Gigaword Corpus ( Linguistic Data @@CITATION@@ ) .","BACKGROUND"
"W02-1601_29","For example , such schema can serve as a mean to represent translation examples , or find structural correspondences for the purpose of transfer grammar learning ( Menezes & Richardson , 2001 ) , ( Aramaki et al. , 2001 ) , ( @@CITATION@@ ) , ( Meyers et al. , 2000 ) , ( Matsumoto et al. , 1993 ) , ( kaji et al. , 1992 ) , and example-base machine translation EBMT3 ( Sato & Nagao , 1990 ) , ( Sato , 1991 ) , ( Richardson et al. , 2001 ) , ( Al-Adhaileh & Tang , 1999 ) .","BACKGROUND"
"D12-1037_25","@@CITATION@@ introduced the log-linear model for statistical machine translation ( SMT ) , in which translation is considered as the following optimization problem :","BACKGROUND"
"J92-1004_13","Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , @@CITATION@@ , and Young ( 1989 ) .","BACKGROUND"
"E12-1068_6","For compound splitting , we follow @@CITATION@@ , using linguistic knowledge encoded in a rule-based morphological analyser and then selecting the best analysis based on the geometric mean of word part frequencies .","USES"
"E12-1068_7","@@CITATION@@ showed that the use of a POS factor only results in negligible BLEU improvements , but we need access to the POS in our inflection prediction models .","BACKGROUND"
"P10-4003_23","Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; Buckley and Wolska , 2007 ; Nielsen et al. , 2008 ; @@CITATION@@ ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .","BACKGROUND"
"J07-1005_51","We first identified the most informative unigrams and bigrams using the information gain measure ( @@CITATION@@ ) , and then selected only the positive outcome predictors using odds ratio ( Mladenic and Grobelnik 1999 ) .","USES"
"W06-1639_45","Recently , several alternative , often quite sophisticated approaches to collective classification have been proposed ( Neville and Jensen , 2000 ; Lafferty et al. , 2001 ; Getoor et al. , 2002 ; Taskar et al. , 2002 ; @@CITATION@@ ; Taskar et al. , 2004 ; McCallum and Wellner , 2004 ) .","BACKGROUND"
"W04-1610_16","It compares favorably to other stemming or root extraction algorithms ( @@CITATION@@ ; Al-Shalabi and Evens , 1998 ; and Houmame , 1999 ) , with a performance of over 97 % for extracting the correct root in web documents , and it addresses the challenge of the Arabic broken plural and hollow verbs .","MOTIVATION"
"A00-2036_23","We perceive that these results can be extended to other language models that properly embed bilexical context-free grammars , as for instance the more general history-based models used in ( @@CITATION@@ ) and ( Chelba and Jelinek , 1998 ) .","FUTURE"
"J06-2002_24","Clearly , what it takes for the adjective to be applicable has not been cast in stone , but is open to fiat : the speaker may decide that 8 cm is enough , or the speaker may set the standards higher ( cfXXX , @@CITATION@@ ) .","BACKGROUND"
"J90-3003_1","Many investigators ( e.g. @@CITATION@@ ; Elowitz et al. 1976 ; Luce et al. 1983 ; Cahn 1988 ) have suggested that the poor prosody of synthetic speech , in comparison with natural speech , is the primary factor leading to difficulties in the comprehension of fluent synthetic speech .","MOTIVATION"
"J07-1005_15","The PERSIVAL project , the most comprehensive study of such techniques applied on medical texts to date , leverages patient records to generate personalized summaries in response to physicians ' queries ( McKeown , Elhadad , and Hatzivassiloglou 2003 ; @@CITATION@@ ) .","COMPARES_CONTRASTS"
"J10-3007_24","See @@CITATION@@ for further discussion .","BACKGROUND"
"D08-1007_36","We gather similar words using @@CITATION@@a ) , mining similar verbs from a comparable-sized parsed corpus , and collecting similar nouns from a broader 10 GB corpus of English text .4 We also use Keller and Lapata ( 2003 ) 's approach to obtaining web-counts .","USES"
"J86-1002_26","Thus , for example , it can acquire a `` script '' such as the one for going to a restaurant as defined in @@CITATION@@ .","BACKGROUND"
"P11-1134_22","ones , DIRT ( @@CITATION@@ ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .","BACKGROUND"
"J86-1002_27","There is some literature on procedure acquisition such as the LISP synthesis work described in Biermann et al. ( 1984 ) and the PROLOG synthesis method of @@CITATION@@ .","COMPARES_CONTRASTS"
"P10-4003_13","The system uses a domain-specific content planner to produce input to the surface realizer based on the strategy decision , and a FUF/SURGE ( @@CITATION@@ ) generation system to produce the appropriate text .","USES"
"J87-3002_11","However , each of these fields requires further decoding and restructuring to provide client programs with easy access to the information they require ( see @@CITATION@@ for further discussion ) .","BACKGROUND"
"D10-1101_4","Our results also confirm the insights gained by @@CITATION@@ , who observed that in crossdomain polarity analysis adding more training data is not always beneficial .","COMPARES_CONTRASTS"
"W06-2807_9","We consider the Creative Commons model as the most suitable one to let each author choose the rights to reserve ( @@CITATION@@ ) .","USES"
"W04-1610_4","It compares favorably to other stemming or root extraction algorithms ( Yates and Neto , 1999 ; Al-Shalabi and Evens , 1998 ; and @@CITATION@@ ) , with a performance of over 97 % for extracting the correct root in web documents , and it addresses the challenge of the Arabic broken plural and hollow verbs .","MOTIVATION"
"D13-1115_66","In a similar vein , @@CITATION@@ showed that a different feature-topic model improved predictions on a fill-in-the-blank task .","BACKGROUND"
"P00-1007_12","As ( @@CITATION@@ ) show , lexical information improves on NP and VP chunking as well .","FUTURE"
"E03-1005_42","But while Bod 's estimator obtains state-of-the-art results on the WSJ , comparable to Charniak ( 2000 ) and Collins ( 2000 ) , Bonnema et al. 's estimator performs worse and is comparable to @@CITATION@@ .","BACKGROUND"
"D10-1038_17","In multi-party discussion people usually mention each other 's name for the purpose of disentanglement ( @@CITATION@@ ) .","BACKGROUND"
"P97-1063_31","Fortunately , indirect associations are usually not difficult to identify , because they tend to be weaker than the direct associations on which they are based ( @@CITATION@@c ) .","BACKGROUND"
"J04-3001_22","The work of @@CITATION@@ and Steedman , Osborne , et al. ( 2003 ) suggests that co-training can be helpful for statistical parsing .","BACKGROUND"
"W01-1510_22","TNT refers to the HPSG parser ( @@CITATION@@ ) , C++ implementation of the two-phase parsing algorithm that performs filtering with a compiled CFG ( phase 1 ) and then executes feature unification ( phase 2 ) .","COMPARES_CONTRASTS"
"J00-2001_40","1 Â° The body of a plan can be an action or sequence of actions , a goal or sequence 9 Moore and Paris also note that `` a generation system must maintain the kinds of information outlined by Grosz and Sidner '' ( @@CITATION@@ , 203 ) .","BACKGROUND"
"J00-3002_24","Surveys and articles on the topic include Lamarche and Retord ( 1996 ) , de Groote and Retord ( 1996 ) , and @@CITATION@@ .","BACKGROUND"
"W14-2106_15","Another line of research that is correlated with ours is recognition of agreement/disagreement ( Misra and Walker , 2013 ; Yin et al. , 2012 ; Abbott et al. , 2011 ; Andreas et al. , 2012 ; @@CITATION@@ ; Hillard et al. , 2003 ) and classification of stances ( Walker et al. , 2012 ; Somasundaran and Wiebe , 2010 ) in online forums .","COMPARES_CONTRASTS"
"E03-1002_6","The standard way to handle this problem is to handcraft a finite set of features which provides a sufficient summary of the unbounded history ( Ratnaparkhi , 1999 ; Collins , 1999 ; @@CITATION@@ ) .","COMPARES_CONTRASTS"
"D08-1034_9","Since the arguments can provide useful semantic information , the SRL is crucial to many natural language processing tasks , such as Question and Answering ( Narayanan and Harabagiu 2004 ) , Information Extraction ( @@CITATION@@ ) , and Machine Translation ( Boas 2002 ) .","BACKGROUND"
"W06-3813_18","Most approaches rely on VerbNet ( @@CITATION@@ ) and FrameNet ( Baker et al. , 1998 ) to provide associations between verbs and semantic roles , that are then mapped onto the current instance , as shown by the systems competing in semantic role labelling competitions ( Carreras and Marquez , 2004 ; Carreras and Marquez , 2005 ) and also ( Gildea and Jurafsky , 2002 ; Pradhan et al. , 2005 ; Shi and Mihalcea , 2005 ) .","BACKGROUND"
"J90-3003_24","In previous work ( Bachenko et al. 1986 ) , we described an experimental text-to-speech system that determined prosodic phrasing for the Olive -- Liberman synthesizer ( @@CITATION@@ ) .","BACKGROUND"
"J03-3004_8","Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX Sato and Nagao 1990 ; Veale and Way 1997 ; @@CITATION@@ ) .7 As an example , consider the translation into French of the house collapsed .","BACKGROUND"
"J97-4003_7","This approach is taken , for example , in LKB ( Copestake 1992 ) where lexical rules are introduced on a par with phrase structure rules and the parser makes no distinction between lexical and nonlexical rules ( @@CITATION@@ , 31 ) .","COMPARES_CONTRASTS"
"J97-4003_0","27 @@CITATION@@ argue that semi-productivity of lexical rules , which can be understood as a generalization of exceptions to lexical rules , can be integrated with our approach by assigning probabilities to the automaton associated with a particular lexical entry .","BACKGROUND"
"P10-4003_24","Results from other systems show that measures of semantic coherence between a student and a system were positively associated with higher learning gain ( @@CITATION@@ ) .","FUTURE"
"E03-1004_1","These automatic transformations are based on linguistic rules ( @@CITATION@@ ) .","USES"
"J09-4010_4","â¢ Only an automatic evaluation was performed , which relied on having model responses ( Berger and Mittal 2000 ; @@CITATION@@ ) .","COMPARES_CONTRASTS"
"J13-1008_8","In comparison , the tag set of the Buckwalter Morphological Analyzer ( @@CITATION@@ ) used in the PATB has a core POS set of 44 tags ( CORE44 ) before morphological extension .8 Cross-linguistically , a core set containing around 12 tags is often","COMPARES_CONTRASTS"
"J86-1002_13","â¢ use of low level knowledge from the speech recognition phase , â¢ use of high level knowledge about the domain in particular and the dialogue task in general , â¢ a `` continue '' facility and an `` auto-loop '' facility as described by Biermann and Krishnaswamy ( 1976 ) , â¢ a `` conditioning '' facility as described by @@CITATION@@ , â¢ implementation of new types of paraphrasing , â¢ checking a larger environment in the expectation acquisition algorithm when deciding if an incoming sentence is the same or similar to one already seen , and â¢ examining inter-speaker dialogue patterns .","FUTURE"
"K15-1002_42","@@CITATION@@ present detailed studies on the task of named entity recognition , which discusses and compares different methods on multiple aspects including chunk representation , inference method , utility of non-local features , and integration of external knowledge .","BACKGROUND"
"W02-0309_9","mers ( @@CITATION@@ ; Porter , 1980 ) demonstrably improve retrieval performance .","BACKGROUND"
"J06-2002_14","Cases like this would be covered if the decision-theoretic property of Pareto optimality ( e.g. , @@CITATION@@ ) was used as the sole criterion : Formally , an object r E C has a Pareto-optimal combination of Values V iff there is no other x E C such that","BACKGROUND"
"J92-1004_11","A formula for the test set perplexity ( @@CITATION@@ ) is :13","BACKGROUND"
"J09-4010_42","This method follows a traditional Information Retrieval paradigm ( @@CITATION@@ ) , where a query is represented by the content terms it contains , and the system retrieves from the corpus a set of documents that best match this query .","USES"
"N01-1009_10","Table 1 gives the interpretations of eight adjective-noun combinations discussed in @@CITATION@@ and Vendler ( 1968 ) .","USES"
"A00-1031_10","The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in ( @@CITATION@@ ) .","COMPARES_CONTRASTS"
"J05-3003_9","@@CITATION@@ , by comparison , employ 163 distinct predefined frames .","BACKGROUND"
"D09-1067_1","Brockmann and Lapata ( 2003 ) have showed that WordNet-based approaches do not always outperform simple frequency-based models , and a number of techniques have been recently proposed which may offer ideas for refining our current unsupervised approach ( Erk , 2007 ; @@CITATION@@ ) .","FUTURE"
"P02-1001_25","fÎ¸ on demand ( @@CITATION@@ ) can pay off here , since only part of fÎ¸ may be needed subsequently . )","BACKGROUND"
"J00-3002_11","An approach ( also based on regulation of the succession of rule application ) to the associated problem of spurious ambiguity is given in @@CITATION@@ but again , to our knowledge , there is no predictive relation between incremental combinatory processing and the kind of processing phenomena cited in the introduction .","BACKGROUND"
"J00-4002_30","This equivalence is doing essentially the same job as Pereira 's pronoun abstraction schema in @@CITATION@@ .","COMPARES_CONTRASTS"
