,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
36,GEMMA2-27B,0.7624,0.7786,0.7664,0.7883,few-shot,3,1,2,1.0
37,QWEN2.5_14B,0.7642,0.7691,0.7658,0.7963,few-shot,1,2,2,1.0
38,MISTRAL_NEMO,0.7717,0.7616,0.7658,0.7904,few-shot,2,2,1,0.2
39,GEMMA2-27B,0.7623,0.7754,0.7657,0.7899,few-shot,3,1,2,0.5
40,QWEN2.5_14B,0.7468,0.805,0.7655,0.7845,few-shot,1,2,1,0.2
41,QWEN2.5_14B,0.7481,0.7983,0.7653,0.7845,few-shot,3,2,1,0.0
42,GEMMA2-27B,0.7632,0.7734,0.7653,0.7904,few-shot,3,1,2,0.0
43,QWEN2.5_14B,0.7636,0.7733,0.7652,0.7937,many-shot,1,2,2,0.2
44,QWEN2.5_14B,0.7473,0.8089,0.765,0.7834,many-shot,2,2,1,0.2
45,QWEN2.5_14B,0.7462,0.8047,0.7648,0.784,few-shot,1,2,1,0.0
46,QWEN2.5_14B,0.7474,0.8071,0.7647,0.784,many-shot,2,2,1,1.0
47,QWEN2.5_14B,0.7477,0.7966,0.7645,0.784,few-shot,3,2,1,0.5
48,MISTRAL_NEMO,0.7686,0.7611,0.7643,0.7877,few-shot,2,2,1,0.5
49,MISTRAL_NEMO,0.7466,0.7965,0.7641,0.7851,many-shot,2,2,1,0.2
50,QWEN2.5_14B,0.7455,0.8029,0.7639,0.7834,few-shot,1,2,1,0.5
51,QWEN2.5_14B,0.7451,0.803,0.7638,0.7824,few-shot,1,2,1,1.0
52,QWEN2.5_14B,0.7462,0.8071,0.7635,0.7824,many-shot,2,2,1,0.0
53,QWEN2.5_14B,0.7509,0.7919,0.7632,0.7856,one-shot,1,2,1,1.0
54,QWEN2.5_14B,0.7604,0.7678,0.763,0.7942,few-shot,1,2,2,0.5
55,QWEN2.5_14B,0.7496,0.7977,0.7629,0.7834,one-shot,3,2,2,1.0
56,QWEN2.5_14B,0.7498,0.797,0.7627,0.7834,one-shot,3,2,2,0.5
57,QWEN2.5_14B,0.7496,0.797,0.7625,0.7834,one-shot,3,2,2,0.0
58,MISTRAL_NEMO,0.8112,0.7359,0.7625,0.791,few-shot,2,1,1,0.0
59,QWEN2.5_14B,0.7456,0.8065,0.7625,0.7818,many-shot,2,2,1,0.5
60,QWEN2.5_14B,0.7504,0.7914,0.7623,0.7851,one-shot,1,2,1,0.5
61,MISTRAL_NEMO,0.7452,0.7928,0.7621,0.784,many-shot,2,2,1,0.0
62,QWEN2.5_14B,0.7447,0.7961,0.762,0.7813,few-shot,3,2,1,1.0
63,QWEN2.5_14B,0.7485,0.7963,0.7617,0.7824,one-shot,3,2,2,0.2
64,GEMMA2-27B,0.7485,0.7918,0.7616,0.7872,few-shot,3,2,2,0.2
65,QWEN2.5_14B,0.7592,0.7654,0.7614,0.7931,few-shot,1,2,2,0.0
66,QWEN2.5_14B,0.7599,0.7692,0.7614,0.7904,many-shot,1,2,2,0.0
67,QWEN2.5_14B,0.7589,0.7681,0.7606,0.7904,many-shot,1,2,2,0.5
68,QWEN2.5_14B,0.7484,0.7896,0.7603,0.7834,one-shot,1,2,1,0.0
69,QWEN2.5_14B,0.7422,0.8005,0.7603,0.7792,few-shot,2,2,1,0.5
70,QWEN2.5_14B,0.758,0.7638,0.7601,0.792,few-shot,1,2,2,0.2
71,QWEN2.5_14B,0.7415,0.7983,0.7597,0.7781,few-shot,2,2,1,1.0
72,QWEN2.5_14B,0.7413,0.7996,0.7596,0.7781,few-shot,2,2,1,0.0
73,QWEN2.5_14B,0.7414,0.7994,0.7596,0.7781,few-shot,2,2,1,0.2
74,GEMMA2-27B,0.7471,0.7941,0.7596,0.7844,few-shot,3,2,2,1.0
75,MISTRAL_NEMO,0.7591,0.7752,0.7595,0.7743,many-shot,3,1,1,0.0
76,GEMMA2-27B,0.752,0.7831,0.7594,0.7813,many-shot,3,1,2,1.0
77,MISTRAL_NEMO,0.809,0.7329,0.7594,0.7845,few-shot,2,1,1,0.2
78,QWEN2.5_14B,0.7474,0.7888,0.7593,0.7824,one-shot,1,2,1,0.2
79,GEMMA2-27B,0.7465,0.7865,0.7588,0.7856,few-shot,3,2,2,0.0
80,QWEN2.5_14B,0.7478,0.7864,0.7587,0.7824,one-shot,1,2,2,0.5
81,MISTRAL_NEMO,0.7557,0.7757,0.7583,0.7738,many-shot,3,1,1,0.2
82,GEMMA2-27B,0.7446,0.7895,0.7576,0.784,few-shot,3,2,2,0.5
83,QWEN2.5_14B,0.7591,0.773,0.7574,0.7824,zero-shot,3,1,,0.0
84,QWEN2.5_14B,0.7571,0.7716,0.7561,0.7813,zero-shot,3,1,,0.5
85,QWEN2.5_14B,0.7456,0.7818,0.7556,0.7802,one-shot,1,2,2,0.0
86,QWEN2.5_14B,0.7448,0.7817,0.7551,0.7797,one-shot,1,2,2,0.2
87,MISTRAL_NEMO,0.7451,0.7682,0.7551,0.7856,many-shot,2,2,2,0.0
88,MISTRAL_NEMO,0.7457,0.7671,0.7547,0.784,many-shot,2,2,2,0.2
89,QWEN2.5_14B,0.7567,0.7695,0.7542,0.7797,zero-shot,3,1,,0.2
90,QWEN2.5_14B,0.7435,0.781,0.7538,0.7786,one-shot,1,2,2,1.0
91,MISTRAL_NEMO,0.7927,0.7295,0.7534,0.7759,many-shot,2,1,1,0.0
92,GEMMA2-27B,0.7507,0.7582,0.7534,0.7883,one-shot,3,2,2,1.0
93,QWEN2.5_14B,0.7461,0.7633,0.7533,0.77,few-shot,3,1,2,1.0
94,MISTRAL_NEMO,0.7421,0.7751,0.7531,0.7813,few-shot,2,2,2,0.0
95,MISTRAL_NEMO,0.7587,0.7525,0.7527,0.7786,few-shot,3,2,2,0.2
96,QWEN2.5_14B,0.7476,0.7839,0.7526,0.777,zero-shot,3,2,,0.2
97,MISTRAL_NEMO,0.7601,0.7506,0.7524,0.7851,one-shot,3,2,2,0.2
98,MISTRAL_NEMO,0.8163,0.7214,0.7523,0.7845,few-shot,3,1,1,0.0
99,MISTRAL_NEMO,0.7452,0.7625,0.7523,0.7695,many-shot,3,2,1,0.0
100,QWEN2.5_14B,0.7455,0.7619,0.7523,0.7706,few-shot,3,1,2,0.0
101,MISTRAL_NEMO,0.7412,0.7738,0.7523,0.7808,few-shot,2,2,2,0.2
102,QWEN2.5_14B,0.7487,0.7819,0.7522,0.777,zero-shot,3,2,,1.0
103,MISTRAL_NEMO,0.7595,0.7502,0.752,0.7845,one-shot,3,2,2,0.0
104,MISTRAL_NEMO,0.7878,0.7297,0.752,0.7765,many-shot,2,1,1,0.2
105,QWEN2.5_14B,0.7468,0.7836,0.752,0.7765,zero-shot,3,2,,0.0
106,GEMMA2-27B,0.7479,0.7565,0.7512,0.7856,one-shot,3,2,2,0.5
107,GEMMA2-9B,0.7597,0.7638,0.7512,0.7738,one-shot,3,1,1,0.5
108,MISTRAL_NEMO,0.7933,0.7265,0.7508,0.7759,few-shot,2,1,1,0.5
109,QWEN2.5_14B,0.7401,0.7817,0.7508,0.7749,one-shot,2,2,2,0.5
110,QWEN2.5_14B,0.7376,0.7862,0.7506,0.7722,one-shot,3,2,1,0.0
111,QWEN2.5_14B,0.7436,0.7605,0.7506,0.7695,few-shot,3,1,2,0.2
112,QWEN2.5_14B,0.7373,0.7864,0.7504,0.7722,one-shot,3,2,1,0.2
113,QWEN2.5_14B,0.7386,0.7825,0.7502,0.7722,one-shot,2,2,1,1.0
114,GEMMA2-27B,0.7369,0.782,0.7501,0.7765,few-shot,3,2,1,0.2
115,MISTRAL_NEMO,0.7462,0.7563,0.7501,0.7689,many-shot,3,2,1,0.2
116,GEMMA2-27B,0.7476,0.7546,0.75,0.7851,one-shot,3,2,2,0.2
117,QWEN2.5_14B,0.7413,0.7813,0.7499,0.7732,zero-shot,2,1,,0.0
118,QWEN2.5_14B,0.7369,0.7849,0.7499,0.7716,one-shot,3,2,1,0.5
119,QWEN2.5_14B,0.7509,0.7663,0.7498,0.7738,zero-shot,3,1,,1.0
120,GEMMA2-9B,0.7475,0.786,0.7498,0.7716,few-shot,3,2,2,0.0
121,QWEN2.5_14B,0.7388,0.7815,0.7498,0.7716,one-shot,2,2,1,0.2
122,QWEN2.5_14B,0.75,0.7515,0.7498,0.7663,one-shot,1,1,2,0.2
123,GEMMA2-9B,0.7479,0.7859,0.7497,0.7715,few-shot,3,2,2,0.2
124,QWEN2.5_14B,0.7389,0.7815,0.7497,0.7716,one-shot,2,2,1,0.0
125,MISTRAL_NEMO,0.7451,0.7614,0.7497,0.7643,few-shot,1,2,1,0.5
126,MISTRAL_NEMO,0.7382,0.7702,0.7495,0.7775,few-shot,2,2,2,0.5
127,QWEN2.5_14B,0.7453,0.7804,0.7495,0.7743,zero-shot,3,2,,0.5
128,QWEN2.5_14B,0.7384,0.7815,0.7495,0.7716,one-shot,2,2,1,0.5
129,QWEN2.5_14B,0.7408,0.7812,0.7494,0.7722,zero-shot,2,1,,0.5
130,QWEN2.5_14B,0.7396,0.7813,0.749,0.7722,zero-shot,2,1,,0.2
131,QWEN2.5_14B,0.7358,0.7845,0.7489,0.7711,one-shot,3,2,1,1.0
132,QWEN2.5_14B,0.7385,0.7786,0.7488,0.7732,one-shot,2,2,2,0.2
133,MISTRAL_NEMO,0.7541,0.7485,0.7488,0.7818,one-shot,3,2,2,0.5
134,QWEN2.5_14B,0.7383,0.7709,0.7484,0.7695,one-shot,3,1,2,0.2
135,QWEN2.5_14B,0.7479,0.7504,0.7483,0.7652,one-shot,1,1,2,0.5
136,GEMMA2-27B,0.7461,0.7522,0.7483,0.784,one-shot,3,2,2,0.0
137,GEMMA2-9B,0.7574,0.7594,0.7481,0.7711,one-shot,3,1,1,0.0
138,GEMMA2-27B,0.7382,0.789,0.7481,0.7735,many-shot,3,2,2,0.5
139,QWEN2.5_14B,0.7423,0.7564,0.7481,0.7673,few-shot,3,1,2,0.5
140,QWEN2.5_14B,0.7375,0.7718,0.7481,0.7689,one-shot,3,1,2,0.0
141,QWEN2.5_14B,0.7373,0.7793,0.748,0.7716,one-shot,2,2,2,1.0
142,QWEN2.5_14B,0.7376,0.7787,0.7479,0.7722,one-shot,2,2,2,0.0
143,GEMMA2-9B,0.7575,0.759,0.7479,0.7716,one-shot,3,1,1,0.2
144,QWEN2.5_14B,0.7367,0.7733,0.7477,0.7684,one-shot,3,1,2,1.0
145,GEMMA2-9B,0.7458,0.783,0.7476,0.7694,few-shot,3,2,2,0.5
146,QWEN2.5_14B,0.7483,0.7491,0.7476,0.7663,one-shot,1,1,2,1.0
147,QWEN2.5_14B,0.7381,0.7787,0.7475,0.7706,zero-shot,2,1,,1.0
148,QWEN2.5_14B,0.7482,0.7485,0.7473,0.7636,one-shot,1,1,2,0.0
149,MISTRAL_NEMO,0.7442,0.7513,0.7472,0.7593,many-shot,1,1,1,0.0
150,GEMMA2-27B,0.7339,0.78,0.7469,0.7727,few-shot,3,2,1,0.0
151,MISTRAL_NEMO,0.7485,0.7501,0.7469,0.7759,one-shot,3,2,2,1.0
152,PHI3_MEDIUM,0.735,0.8089,0.7467,0.7611,many-shot,3,2,2,0.2
153,QWEN2.5_14B,0.7365,0.7698,0.7467,0.7684,one-shot,3,1,2,0.5
154,MISTRAL_NEMO,0.7556,0.739,0.7465,0.768,few-shot,1,1,1,0.5
155,GEMMA2-9B,0.7395,0.7759,0.7465,0.7722,few-shot,2,2,2,0.5
156,MISTRAL_NEMO,0.7538,0.7449,0.7464,0.7738,few-shot,3,2,2,0.0
157,GEMMA2-9B,0.7443,0.7807,0.7458,0.7684,few-shot,3,2,2,1.0
158,QWEN2.5_14B,0.7332,0.7778,0.7455,0.7668,zero-shot,1,1,,1.0
159,GEMMA2-9B,0.7391,0.7767,0.7453,0.7726,few-shot,1,2,2,0.5
160,QWEN2.5_14B,0.7271,0.7768,0.7448,0.7501,few-shot,1,1,2,0.5
161,PHI3_MEDIUM,0.7333,0.7917,0.7445,0.7592,many-shot,3,2,2,0.5
162,GEMMA2-27B,0.7342,0.7844,0.7443,0.7699,many-shot,3,2,2,0.2
163,QWEN2.5_14B,0.7264,0.7764,0.7441,0.7496,few-shot,1,1,2,0.0
164,MISTRAL_NEMO,0.7266,0.7785,0.7441,0.7645,many-shot,2,2,1,0.5
165,GEMMA2-27B,0.7334,0.781,0.744,0.7706,many-shot,3,2,2,1.0
166,LLAMA3,0.7276,0.7799,0.7439,0.7625,many-shot,1,2,2,0.0
167,QWEN2.5_14B,0.7264,0.7782,0.7438,0.7587,many-shot,3,1,2,0.5
168,GEMMA2-9B,0.7424,0.7554,0.7438,0.7625,one-shot,3,1,2,0.0
169,PHI3_MEDIUM,0.7331,0.8063,0.7437,0.7581,many-shot,3,2,2,0.0
170,MISTRAL_NEMO,0.7319,0.7606,0.7437,0.7722,many-shot,2,2,2,0.5
171,GEMMA2-9B,0.7522,0.7566,0.7435,0.7689,one-shot,3,1,1,1.0
172,GEMMA2-27B,0.7301,0.7778,0.7433,0.7694,few-shot,3,2,1,1.0
173,GEMMA2-27B,0.7301,0.7781,0.7432,0.7689,few-shot,3,2,1,0.5
174,GEMMA2-27B,0.7334,0.7844,0.7431,0.7688,many-shot,3,2,2,0.0
175,GEMMA2-9B,0.7401,0.7815,0.7431,0.7668,many-shot,2,2,2,0.2
176,QWEN2.5_14B,0.7367,0.7503,0.743,0.763,one-shot,2,1,2,0.2
177,GEMMA2-9B,0.7416,0.7773,0.743,0.7679,many-shot,1,2,2,0.5
178,GEMMA2-27B,0.7266,0.7791,0.7426,0.7684,many-shot,3,2,1,0.0
179,QWEN2.5_14B,0.725,0.7738,0.7424,0.7485,few-shot,1,1,2,0.2
180,GEMMA2-27B,0.7263,0.7788,0.7424,0.768,many-shot,3,2,1,0.2
181,QWEN2.5_14B,0.7307,0.7746,0.7423,0.7641,zero-shot,1,1,,0.2
182,QWEN2.5_14B,0.7249,0.7758,0.7422,0.7571,many-shot,3,1,2,0.2
183,QWEN2.5_14B,0.7305,0.7746,0.7421,0.7641,zero-shot,1,1,,0.0
184,GEMMA2-9B,0.7407,0.7767,0.7421,0.7673,many-shot,1,2,2,0.0
185,QWEN2.5_14B,0.7358,0.7489,0.7419,0.762,one-shot,2,1,2,0.0
186,MISTRAL_NEMO,0.7438,0.7426,0.7418,0.7663,few-shot,3,2,2,0.5
187,MISTRAL_NEMO,0.7382,0.7462,0.7417,0.7534,many-shot,1,1,1,0.2
188,MISTRAL_NEMO,0.7753,0.7417,0.7416,0.7657,many-shot,3,1,2,0.0
189,QWEN2.5_14B,0.736,0.7474,0.7414,0.762,one-shot,2,1,2,0.5
190,QWEN2.5_14B,0.7301,0.7743,0.7414,0.7636,zero-shot,1,1,,0.5
191,GEMMA2-9B,0.7381,0.7798,0.7412,0.7646,many-shot,2,2,2,0.0
192,GEMMA2-9B,0.7402,0.7516,0.7409,0.7598,one-shot,3,1,2,0.2
193,GEMMA2-9B,0.7369,0.755,0.7409,0.7598,one-shot,3,1,2,1.0
194,MISTRAL_NEMO,0.7248,0.772,0.7409,0.7641,many-shot,1,2,2,0.2
195,GEMMA2-9B,0.7398,0.7747,0.7408,0.7663,many-shot,1,2,2,0.2
196,GEMMA2-9B,0.7371,0.779,0.7406,0.7646,many-shot,2,2,2,0.5
197,QWEN2.5_14B,0.7234,0.7742,0.7405,0.756,many-shot,3,1,2,0.0
198,MISTRAL_NEMO,0.7243,0.7703,0.7404,0.7625,many-shot,1,2,2,0.0
199,QWEN2.5_14B,0.7278,0.7875,0.7403,0.7609,zero-shot,2,2,,1.0
200,GEMMA2-9B,0.7394,0.7512,0.7403,0.7603,one-shot,3,1,2,0.5
201,GEMMA2-9B,0.7346,0.7695,0.7403,0.7663,few-shot,2,2,2,0.2
202,GEMMA2-9B,0.739,0.7725,0.7398,0.7653,many-shot,1,2,2,1.0
203,QWEN2.5_14B,0.7218,0.7714,0.7395,0.7448,few-shot,1,1,2,1.0
204,GEMMA2-9B,0.7341,0.7682,0.7394,0.7657,few-shot,2,2,2,0.0
205,QWEN2.5_14B,0.7311,0.7505,0.7394,0.7593,one-shot,1,1,1,0.5
206,QWEN2.5_14B,0.7217,0.7679,0.7394,0.7507,few-shot,2,1,2,0.5
207,QWEN2.5_14B,0.722,0.7727,0.7391,0.7539,many-shot,3,1,2,1.0
208,MISTRAL_NEMO,0.724,0.7771,0.739,0.7636,few-shot,1,2,2,0.0
209,QWEN2.5_14B,0.7293,0.7525,0.739,0.7587,one-shot,1,1,1,0.0
210,QWEN2.5_14B,0.7329,0.7459,0.739,0.7614,one-shot,2,1,2,1.0
211,MISTRAL_NEMO,0.7218,0.7869,0.7389,0.7582,many-shot,1,2,1,0.0
212,MISTRAL_NEMO,0.7637,0.7353,0.7389,0.7646,many-shot,2,1,2,0.0
213,MISTRAL_NEMO,0.7977,0.7097,0.7383,0.7743,few-shot,3,1,1,0.2
214,QWEN2.5_14B,0.7207,0.7672,0.7383,0.7507,few-shot,2,1,2,0.0
215,MISTRAL_NEMO,0.7485,0.7299,0.7381,0.7754,one-shot,2,2,1,0.2
216,MISTRAL_NEMO,0.722,0.7741,0.7378,0.7609,few-shot,1,2,2,0.2
217,GEMMA2-27B,0.7217,0.7758,0.7378,0.7631,many-shot,3,2,1,1.0
218,QWEN2.5_14B,0.7279,0.7513,0.7377,0.7571,one-shot,1,1,1,0.2
219,GEMMA2-9B,0.7317,0.7695,0.7376,0.7651,few-shot,1,2,2,0.2
220,QWEN2.5_14B,0.7253,0.7852,0.7373,0.7577,zero-shot,2,2,,0.5
221,GEMMA2-9B,0.7298,0.768,0.7371,0.763,few-shot,2,2,2,1.0
222,GEMMA2-27B,0.721,0.772,0.7368,0.763,many-shot,3,2,1,0.5
223,GEMMA2-9B,0.7424,0.7719,0.7368,0.7614,many-shot,3,2,2,0.2
224,GEMMA2-27B,0.735,0.7478,0.7367,0.7663,one-shot,3,2,1,0.5
225,QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571,zero-shot,2,2,,0.2
226,QWEN2.5_14B,0.7266,0.7504,0.7366,0.7566,one-shot,1,1,1,1.0
227,QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571,zero-shot,2,2,,0.0
228,MISTRAL_NEMO,0.7377,0.7361,0.7365,0.7679,many-shot,3,2,2,0.0
229,QWEN2.5_14B,0.7232,0.7961,0.7362,0.7523,many-shot,3,1,1,0.0
230,QWEN2.5_14B,0.7226,0.7967,0.7361,0.7517,many-shot,3,1,1,0.5
231,GEMMA2-9B,0.7307,0.768,0.7361,0.763,few-shot,1,2,2,1.0
232,GEMMA2-27B,0.7347,0.7472,0.7361,0.7657,one-shot,3,2,1,0.0
233,QWEN2.5_14B,0.7184,0.7649,0.736,0.7485,few-shot,2,1,2,0.2
234,MISTRAL_NEMO,0.7249,0.753,0.7358,0.763,many-shot,2,2,2,1.0
235,QWEN2.5_14B,0.7179,0.765,0.7358,0.7469,few-shot,2,1,2,1.0
236,GEMMA2-9B,0.7296,0.7681,0.7357,0.7629,few-shot,1,2,2,0.0
237,MISTRAL_NEMO,0.7589,0.7323,0.7356,0.7625,many-shot,2,1,2,0.2
238,QWEN2.5_14B,0.724,0.7907,0.7355,0.7544,zero-shot,1,2,,0.5
239,GEMMA2-27B,0.7343,0.7464,0.7354,0.7652,one-shot,3,2,1,1.0
240,QWEN2.5_14B,0.7224,0.7954,0.735,0.7512,many-shot,3,1,1,0.2
241,QWEN2.5_14B,0.7237,0.7901,0.7348,0.7539,zero-shot,1,2,,0.2
242,MISTRAL_NEMO,0.7362,0.7344,0.7348,0.7598,few-shot,3,2,2,1.0
243,GEMMA2-9B,0.7411,0.7701,0.7347,0.7593,many-shot,3,2,2,0.0
244,MISTRAL_NEMO,0.737,0.734,0.7346,0.7657,many-shot,3,2,2,0.2
245,LLAMA3,0.7318,0.7974,0.7344,0.7368,few-shot,1,2,2,0.0
246,QWEN2.5_14B,0.7232,0.7898,0.7343,0.7534,zero-shot,1,2,,0.0
247,MISTRAL_NEMO,0.7431,0.7271,0.7343,0.7749,one-shot,2,2,1,0.0
248,MISTRAL_NEMO,0.7655,0.7366,0.7343,0.7609,many-shot,3,1,2,0.2
249,LLAMA3,0.7186,0.7733,0.7343,0.7533,many-shot,1,2,2,0.2
250,MISTRAL_NEMO,0.7413,0.7349,0.7342,0.7523,few-shot,3,2,1,0.0
251,GEMMA2-27B,0.7324,0.7457,0.7339,0.7636,one-shot,3,2,1,0.2
252,GEMMA2-9B,0.7394,0.7724,0.7339,0.7559,many-shot,3,2,2,1.0
253,GEMMA2-9B,0.7397,0.7508,0.7337,0.7593,one-shot,2,1,1,0.5
254,QWEN2.5_14B,0.714,0.7799,0.7333,0.7458,many-shot,1,1,2,0.0
255,QWEN2.5_14B,0.7219,0.7884,0.7329,0.7517,zero-shot,1,2,,1.0
256,MISTRAL_NEMO,0.7393,0.7342,0.7326,0.7517,few-shot,3,2,1,0.2
257,GEMMA2-9B,0.7375,0.7682,0.7326,0.7566,many-shot,3,2,2,0.5
258,GEMMA2-9B,0.7261,0.7625,0.7326,0.7555,one-shot,3,2,1,0.5
259,MISTRAL_NEMO,0.7407,0.7432,0.7326,0.756,many-shot,1,1,2,0.0
260,MISTRAL_NEMO,0.7184,0.7605,0.7325,0.7587,few-shot,2,2,2,1.0
261,LLAMA3,0.7162,0.7706,0.7322,0.7515,many-shot,1,2,2,0.5
262,MISTRAL_NEMO,0.7386,0.7419,0.7321,0.756,many-shot,1,1,2,0.2
263,GEMMA2-9B,0.7314,0.7804,0.7319,0.7534,few-shot,3,2,1,1.0
264,GEMMA2-9B,0.7287,0.7716,0.7319,0.7555,many-shot,2,2,2,1.0
265,QWEN2.5_14B,0.7177,0.7578,0.7317,0.7507,one-shot,2,1,1,0.2
266,QWEN2.5_14B,0.7124,0.7768,0.7316,0.7442,many-shot,1,1,2,0.5
267,QWEN2.5_14B,0.712,0.7779,0.7314,0.7437,many-shot,1,1,2,0.2
268,QWEN2.5_14B,0.7198,0.7938,0.7311,0.7469,many-shot,3,1,1,1.0
269,GEMMA2-9B,0.7347,0.7489,0.7307,0.755,one-shot,2,1,1,1.0
270,QWEN2.5_14B,0.7166,0.7567,0.7305,0.7496,one-shot,2,1,1,0.5
271,MISTRAL_NEMO,0.7817,0.7026,0.7303,0.7652,few-shot,3,1,1,0.5
272,QWEN2.5_14B,0.7161,0.7566,0.7302,0.7491,one-shot,2,1,1,0.0
273,GEMMA2-9B,0.7226,0.7619,0.7301,0.7517,one-shot,3,2,1,0.0
274,LLAMA3,0.7208,0.7574,0.7295,0.7465,many-shot,3,2,2,0.5
275,GEMMA2-9B,0.736,0.7459,0.7295,0.7555,one-shot,2,1,1,0.0
276,MISTRAL_NEMO,0.7131,0.779,0.7294,0.7491,many-shot,1,2,1,0.2
277,GEMMA2-9B,0.7686,0.7081,0.729,0.7582,one-shot,2,1,2,1.0
278,QWEN2.5_14B,0.71,0.7766,0.729,0.7421,many-shot,1,1,2,1.0
279,QWEN2,0.7303,0.7493,0.7289,0.7581,few-shot,2,1,2,0.2
280,GEMMA2-27B,0.7225,0.7479,0.7287,0.7566,many-shot,2,1,2,1.0
281,LLAMA3,0.7196,0.7505,0.7287,0.7452,many-shot,3,2,2,0.0
282,GEMMA2-9B,0.7269,0.777,0.7285,0.7495,few-shot,3,2,1,0.0
283,QWEN2,0.7297,0.7485,0.7285,0.7571,few-shot,2,1,2,0.0
284,GEMMA2-27B,0.7226,0.7482,0.7284,0.7544,many-shot,2,1,2,0.5
285,GEMMA2-27B,0.7186,0.7588,0.7282,0.7566,one-shot,1,2,1,0.5
286,GEMMA2-9B,0.7261,0.7751,0.7279,0.7495,few-shot,3,2,1,0.5
287,GEMMA2-9B,0.7212,0.7595,0.7278,0.7501,one-shot,3,2,1,0.2
288,GEMMA2-9B,0.7193,0.7607,0.7274,0.7491,one-shot,3,2,1,1.0
289,MISTRAL_NEMO,0.7117,0.7671,0.7274,0.7501,few-shot,1,2,2,0.5
290,GEMMA2-9B,0.7675,0.7069,0.7273,0.7587,one-shot,2,1,2,0.5
291,GEMMA2-27B,0.7178,0.7492,0.7273,0.7582,zero-shot,3,2,,1.0
292,GEMMA2-9B,0.7252,0.7754,0.7268,0.7474,few-shot,3,2,1,0.2
