,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
29,QWEN2.5_14B,0.5966,0.6449,0.6007,0.6547,few-shot,3,2,2,0.2
30,QWEN2.5_14B,0.6487,0.578,0.6002,0.6619,one-shot,3,2,2,0.5
31,QWEN2.5_14B,0.6339,0.6156,0.5998,0.6475,few-shot,1,1,2,0.0
32,QWEN2.5_14B,0.6432,0.5844,0.5983,0.6691,one-shot,3,2,2,1.0
33,QWEN2.5_14B,0.597,0.6308,0.5981,0.6691,few-shot,1,2,1,1.0
34,QWEN2.5_14B,0.6334,0.6235,0.5975,0.6691,many-shot,3,2,1,0.0
35,QWEN2.5_14B,0.6449,0.5716,0.5955,0.6547,one-shot,3,2,2,0.0
36,QWEN2.5_14B,0.6363,0.6169,0.5946,0.6259,few-shot,2,1,2,0.0
37,QWEN2.5_14B,0.6297,0.6212,0.594,0.6619,many-shot,3,2,1,0.5
38,QWEN2.5_14B,0.5963,0.6161,0.5934,0.6475,many-shot,1,2,2,1.0
39,QWEN2.5_14B,0.6298,0.6171,0.593,0.6619,many-shot,3,2,1,0.2
40,QWEN2.5_14B,0.6288,0.6169,0.5928,0.6259,few-shot,2,1,2,0.5
41,QWEN2.5_14B,0.6332,0.6229,0.5924,0.6547,few-shot,3,2,1,0.5
42,QWEN2.5_14B,0.5987,0.6236,0.5916,0.6403,many-shot,2,2,2,0.5
43,QWEN2.5_14B,0.626,0.6126,0.5896,0.6259,few-shot,2,1,2,1.0
44,GEMMA2-27B,0.6051,0.6352,0.5895,0.5971,few-shot,3,1,2,1.0
45,GEMMA2-27B,0.602,0.6356,0.5885,0.6115,few-shot,3,1,2,0.2
46,GEMMA2-27B,0.602,0.6356,0.5885,0.6115,few-shot,3,1,2,0.0
47,QWEN2.5_14B,0.6296,0.6165,0.5882,0.6475,few-shot,3,2,1,0.0
48,QWEN2.5_14B,0.601,0.6093,0.5868,0.6547,many-shot,3,2,1,1.0
49,QWEN2.5_14B,0.6328,0.5821,0.5852,0.6763,one-shot,1,2,2,1.0
50,QWEN2.5_14B,0.5854,0.618,0.585,0.6547,few-shot,3,2,2,0.5
51,QWEN2.5_14B,0.6339,0.5797,0.5847,0.6691,one-shot,1,2,2,0.5
52,GEMMA2-27B,0.6034,0.5932,0.5841,0.6547,few-shot,2,1,2,1.0
53,QWEN2.5_14B,0.6078,0.6165,0.5839,0.6475,few-shot,3,2,1,1.0
54,QWEN2.5_14B,0.6274,0.5982,0.5828,0.6475,few-shot,1,1,2,0.2
55,GEMMA2-27B,0.6244,0.5644,0.5826,0.6331,few-shot,1,1,2,0.5
56,QWEN2.5_14B,0.6313,0.5774,0.5817,0.6619,one-shot,1,2,2,0.0
57,QWEN2.5_14B,0.6227,0.6098,0.5801,0.6403,few-shot,3,2,1,0.2
58,QWEN2.5_14B,0.6077,0.6006,0.5797,0.6547,few-shot,3,1,2,0.0
59,QWEN2.5_14B,0.6077,0.6006,0.5797,0.6547,few-shot,3,1,2,0.5
60,QWEN2.5_14B,0.6274,0.5774,0.579,0.6619,one-shot,1,2,2,0.2
61,QWEN2.5_14B,0.5821,0.607,0.5785,0.6619,few-shot,1,2,1,0.5
62,QWEN2.5_14B,0.605,0.5982,0.5766,0.6475,few-shot,3,1,2,0.2
63,QWEN2.5_14B,0.5816,0.5871,0.5739,0.6403,many-shot,2,2,2,1.0
64,QWEN2.5_14B,0.5749,0.6505,0.5739,0.6043,few-shot,3,1,1,1.0
65,QWEN2.5_14B,0.5992,0.5938,0.5732,0.6331,many-shot,1,1,2,1.0
66,GEMMA2-9B,0.5759,0.5833,0.5719,0.6259,few-shot,3,2,2,1.0
67,GEMMA2-27B,0.583,0.6019,0.5705,0.5899,few-shot,3,1,2,0.5
68,GEMMA2-27B,0.5716,0.5959,0.57,0.6115,one-shot,3,2,2,1.0
69,QWEN2.5_14B,0.5774,0.6242,0.5696,0.6187,few-shot,3,1,1,0.0
70,QWEN2.5_14B,0.5774,0.6242,0.5696,0.6187,few-shot,3,1,1,0.2
71,QWEN2.5_14B,0.5785,0.6172,0.5683,0.5971,few-shot,3,1,1,0.5
72,GEMMA2-27B,0.6196,0.5592,0.5664,0.6259,few-shot,1,1,2,0.2
73,GEMMA2-27B,0.6142,0.5629,0.566,0.6115,few-shot,2,1,2,0.2
74,QWEN2.5_14B,0.591,0.5871,0.5656,0.6259,few-shot,3,1,2,1.0
75,GEMMA2-27B,0.575,0.5811,0.5655,0.6043,one-shot,3,2,1,0.0
76,GEMMA2-27B,0.575,0.5811,0.5655,0.6043,one-shot,3,2,1,0.2
77,QWEN2.5_14B,0.6192,0.5406,0.5654,0.6547,one-shot,3,2,2,0.2
78,QWEN2.5_14B,0.5801,0.6305,0.5653,0.6115,few-shot,1,1,1,0.2
79,GEMMA2-27B,0.6117,0.5632,0.5653,0.6259,few-shot,1,1,2,1.0
80,QWEN2.5_14B,0.6561,0.5569,0.5649,0.6691,one-shot,2,2,2,1.0
81,GEMMA2-27B,0.5735,0.5869,0.563,0.5971,one-shot,3,2,1,0.5
82,GEMMA2-9B,0.5697,0.5679,0.5619,0.6187,few-shot,3,2,2,0.2
83,GEMMA2-9B,0.5697,0.5679,0.5619,0.6187,few-shot,3,2,2,0.0
84,GEMMA2-27B,0.6017,0.5423,0.561,0.6187,few-shot,2,1,2,0.0
85,GEMMA2-27B,0.5684,0.6592,0.5606,0.5755,few-shot,3,1,1,0.5
86,GEMMA2-9B,0.649,0.603,0.5593,0.6259,few-shot,3,1,2,1.0
87,QWEN2.5_14B,0.5814,0.6262,0.5587,0.6115,few-shot,1,1,1,0.0
88,GEMMA2-27B,0.6234,0.5282,0.5577,0.6259,few-shot,1,1,2,0.0
89,GEMMA2-27B,0.5679,0.5733,0.5574,0.6115,one-shot,3,2,2,0.5
90,QWEN2.5_14B,0.5825,0.5671,0.5569,0.6331,many-shot,1,1,2,0.0
91,GEMMA2-27B,0.5762,0.5545,0.5564,0.6187,one-shot,1,2,2,1.0
92,GEMMA2-27B,0.5761,0.5522,0.5561,0.6115,one-shot,2,2,2,0.0
93,GEMMA2-27B,0.6079,0.5319,0.5561,0.6115,few-shot,2,1,2,0.5
94,GEMMA2-27B,0.5729,0.5825,0.5556,0.5971,one-shot,3,1,1,0.0
95,GEMMA2-27B,0.5688,0.5586,0.5556,0.6187,one-shot,1,2,2,0.5
96,GEMMA2-27B,0.5716,0.5825,0.5553,0.5971,one-shot,3,1,1,0.2
97,GEMMA2-27B,0.587,0.5735,0.5543,0.5827,one-shot,3,1,1,1.0
98,QWEN2.5_14B,0.5851,0.6182,0.5541,0.5612,few-shot,2,1,1,1.0
99,GEMMA2-27B,0.5706,0.5802,0.552,0.5899,one-shot,3,1,1,0.5
100,QWEN2.5_14B,0.5802,0.5604,0.5512,0.6259,many-shot,1,1,2,0.5
101,QWEN2.5_14B,0.5815,0.5604,0.5499,0.6259,many-shot,1,1,2,0.2
102,GEMMA2-9B,0.5542,0.5589,0.5489,0.6043,few-shot,3,2,2,0.5
103,GEMMA2-27B,0.5594,0.5643,0.5481,0.5971,one-shot,3,2,2,0.2
104,GEMMA2-27B,0.559,0.5643,0.5481,0.5971,one-shot,3,2,2,0.0
105,QWEN2.5_14B,0.5728,0.6172,0.5471,0.5971,few-shot,1,1,1,0.5
106,GEMMA2-9B,0.5682,0.569,0.5471,0.6043,few-shot,3,2,1,1.0
107,GEMMA2-9B,0.5577,0.5589,0.547,0.6043,few-shot,1,2,2,0.5
108,GEMMA2-9B,0.5554,0.5589,0.5468,0.6043,few-shot,1,2,2,0.0
109,QWEN2.5_14B,0.601,0.5633,0.5466,0.6187,few-shot,1,1,2,1.0
110,QWEN2.5_14B,0.544,0.6431,0.5465,0.5683,many-shot,1,1,1,1.0
111,QWEN2.5_14B,0.6215,0.535,0.546,0.6403,one-shot,2,2,2,0.2
112,QWEN2.5_14B,0.6218,0.535,0.5456,0.6403,one-shot,2,2,2,0.0
113,QWEN2.5_14B,0.5992,0.5518,0.5449,0.6259,one-shot,1,2,1,0.5
114,GEMMA2-27B,0.6059,0.5215,0.5446,0.6115,one-shot,2,1,2,0.0
115,GEMMA2-27B,0.6059,0.5215,0.5446,0.6115,one-shot,2,1,2,0.2
116,GEMMA2-27B,0.5617,0.5408,0.5432,0.5899,one-shot,2,2,2,1.0
117,GEMMA2-27B,0.5984,0.5237,0.5418,0.6043,one-shot,1,1,2,0.2
118,GEMMA2-27B,0.5984,0.5237,0.5418,0.6043,one-shot,1,1,2,0.0
119,QWEN2.5_14B,0.5443,0.6408,0.5411,0.5612,many-shot,1,1,1,0.5
120,QWEN2.5_14B,0.5466,0.6283,0.5401,0.5755,many-shot,3,1,1,0.2
121,GEMMA2-9B,0.6368,0.5512,0.5387,0.6259,few-shot,3,1,1,0.0
122,GEMMA2-9B,0.6368,0.5512,0.5387,0.6259,few-shot,3,1,1,0.2
123,GEMMA2-9B,0.5841,0.5262,0.5385,0.6331,one-shot,3,2,2,0.5
124,GEMMA2-9B,0.5611,0.5316,0.5372,0.6115,few-shot,3,2,1,0.0
125,QWEN2.5_14B,0.5555,0.5536,0.537,0.6043,many-shot,2,1,2,1.0
126,GEMMA2-27B,0.5436,0.5494,0.5369,0.5612,few-shot,3,2,2,0.2
127,QWEN2.5_14B,0.5419,0.626,0.5367,0.5683,many-shot,3,1,1,0.0
128,GEMMA2-9B,0.624,0.5488,0.5353,0.6187,few-shot,3,1,1,0.5
129,GEMMA2-9B,0.5912,0.5219,0.5351,0.6331,one-shot,3,2,2,0.0
130,QWEN2.5_14B,0.6133,0.526,0.5349,0.6259,one-shot,2,2,2,0.5
131,GEMMA2-27B,0.5777,0.5272,0.5349,0.6043,one-shot,3,1,2,0.5
132,GEMMA2-9B,0.5608,0.5273,0.5342,0.6115,few-shot,3,2,1,0.2
133,QWEN2.5_14B,0.5431,0.6219,0.5341,0.5683,many-shot,3,1,1,1.0
134,GEMMA2-9B,0.5636,0.5179,0.5322,0.5827,one-shot,3,1,2,1.0
135,GEMMA2-9B,0.5546,0.5293,0.5318,0.6043,few-shot,3,2,1,0.5
136,GEMMA2-27B,0.5958,0.5065,0.5315,0.5899,one-shot,1,1,2,0.5
137,GEMMA2-27B,0.5453,0.5407,0.5306,0.5755,one-shot,3,2,1,1.0
138,QWEN2.5_14B,0.5546,0.5815,0.53,0.5827,few-shot,1,1,1,1.0
139,QWEN2.5_14B,0.5961,0.5398,0.5296,0.5899,one-shot,2,2,1,0.5
140,QWEN2.5_14B,0.5569,0.5494,0.5294,0.6187,one-shot,1,2,1,0.0
141,QWEN2.5_14B,0.5882,0.5381,0.5293,0.5971,one-shot,2,2,1,0.0
142,QWEN2.5_14B,0.5242,0.5659,0.529,0.6115,many-shot,3,2,2,0.5
143,GEMMA2-9B,0.5809,0.5172,0.5286,0.6187,one-shot,3,2,2,0.2
144,QWEN2.5_14B,0.5225,0.5637,0.5279,0.6691,many-shot,1,2,1,1.0
145,QWEN2.5_14B,0.5517,0.5494,0.5278,0.6187,one-shot,1,2,1,1.0
146,QWEN2.5_14B,0.5142,0.5656,0.5275,0.6115,many-shot,3,2,2,0.0
147,GEMMA2-27B,0.5309,0.5429,0.5272,0.554,few-shot,3,2,2,0.0
148,GEMMA2-27B,0.5415,0.6344,0.5262,0.5252,few-shot,3,1,1,0.2
149,QWEN2.5_14B,0.5577,0.5242,0.526,0.6187,one-shot,3,1,2,1.0
150,GEMMA2-27B,0.5865,0.5039,0.5253,0.5827,one-shot,1,1,2,1.0
151,GEMMA2-27B,0.5338,0.5469,0.5252,0.5683,few-shot,2,2,1,0.5
152,GEMMA2-9B,0.5749,0.5137,0.5247,0.6115,one-shot,2,2,2,1.0
153,QWEN2.5_14B,0.5838,0.5357,0.5244,0.5899,one-shot,2,2,1,0.2
154,GEMMA2-9B,0.6496,0.5202,0.5235,0.6259,few-shot,2,1,1,0.0
155,QWEN2.5_14B,0.6176,0.4984,0.5229,0.6475,zero-shot,1,2,,0.2
156,QWEN2.5_14B,0.6176,0.4984,0.5229,0.6475,zero-shot,1,2,,0.0
157,QWEN2.5_14B,0.532,0.5312,0.5226,0.6547,many-shot,3,1,2,1.0
158,GEMMA2-27B,0.5873,0.4953,0.5224,0.5827,one-shot,2,1,2,0.5
159,QWEN2.5_14B,0.5206,0.5434,0.5218,0.6259,one-shot,3,2,1,1.0
160,QWEN2.5_14B,0.5816,0.5334,0.5214,0.5827,one-shot,2,2,1,1.0
161,GEMMA2-27B,0.5224,0.6408,0.5213,0.5324,few-shot,3,1,1,0.0
162,QWEN2.5_14B,0.5469,0.6205,0.5212,0.5252,many-shot,2,1,1,0.2
163,QWEN2.5_14B,0.5613,0.5319,0.5211,0.6043,many-shot,2,1,2,0.0
164,QWEN2.5_14B,0.5508,0.5428,0.521,0.6115,one-shot,1,2,1,0.2
165,GEMMA2-27B,0.5572,0.5221,0.5207,0.6115,one-shot,1,2,1,1.0
166,QWEN2.5_14B,0.5596,0.5319,0.5201,0.6043,many-shot,2,1,2,0.2
167,QWEN2.5_14B,0.533,0.617,0.52,0.554,many-shot,1,1,1,0.2
168,QWEN2.5_14B,0.533,0.617,0.52,0.554,many-shot,1,1,1,0.0
169,GEMMA2-9B,0.6491,0.5432,0.5199,0.6043,few-shot,3,1,2,0.2
170,QWEN2.5_14B,0.5069,0.559,0.5199,0.6043,many-shot,3,2,2,0.2
171,QWEN2.5_14B,0.5581,0.5339,0.5198,0.5971,many-shot,2,1,2,0.5
172,GEMMA2-9B,0.6577,0.5325,0.5197,0.5971,few-shot,1,1,1,1.0
173,GEMMA2-27B,0.5637,0.5121,0.5196,0.5827,one-shot,3,1,2,1.0
174,GEMMA2-9B,0.5717,0.5137,0.5195,0.6115,one-shot,1,2,2,0.5
175,GEMMA2-27B,0.5272,0.5833,0.5188,0.5468,few-shot,2,1,1,0.2
176,GEMMA2-9B,0.5533,0.5212,0.5186,0.5971,few-shot,2,2,2,0.5
177,QWEN2.5_14B,0.5351,0.6069,0.5185,0.5755,many-shot,3,1,1,0.5
178,QWEN2.5_14B,0.5417,0.6182,0.5171,0.518,many-shot,2,1,1,0.0
179,QWEN2.5_14B,0.5198,0.5428,0.5169,0.6115,one-shot,3,2,1,0.5
180,GEMMA2-27B,0.5253,0.5833,0.5169,0.5468,few-shot,2,1,1,0.0
181,GEMMA2-27B,0.5815,0.4906,0.5165,0.5683,one-shot,2,1,2,1.0
182,GEMMA2-9B,0.5713,0.5073,0.5163,0.6043,one-shot,2,2,2,0.0
183,GEMMA2-9B,0.645,0.5204,0.5162,0.6259,few-shot,1,1,1,0.2
184,GEMMA2-27B,0.5572,0.5095,0.5154,0.5755,one-shot,3,1,2,0.2
185,GEMMA2-9B,0.5482,0.5189,0.5139,0.5899,few-shot,2,2,2,0.2
186,GEMMA2-9B,0.5482,0.5189,0.5139,0.5899,few-shot,2,2,2,0.0
187,GEMMA2-9B,0.6312,0.5385,0.5128,0.5899,few-shot,3,1,2,0.0
188,QWEN2,0.5574,0.5508,0.5126,0.5468,few-shot,2,2,2,0.2
189,QWEN2.5_14B,0.5117,0.5385,0.5123,0.6115,one-shot,3,2,1,0.2
190,GEMMA2-9B,0.6224,0.5527,0.5119,0.5755,few-shot,3,1,2,0.5
191,GEMMA2-9B,0.6212,0.5305,0.5112,0.6043,few-shot,2,1,1,1.0
192,GEMMA2-9B,0.6408,0.5157,0.5101,0.6115,few-shot,1,1,1,0.0
193,GEMMA2-27B,0.5525,0.5031,0.5099,0.5683,one-shot,3,1,2,0.0
194,GEMMA2-9B,0.5721,0.5205,0.5099,0.5755,one-shot,3,1,1,0.0
195,GEMMA2-9B,0.5595,0.5026,0.5092,0.5899,one-shot,2,2,2,0.2
196,QWEN2.5_14B,0.5086,0.5361,0.509,0.6043,one-shot,3,2,1,0.0
197,GEMMA2-9B,0.562,0.4898,0.5079,0.6187,zero-shot,1,2,,0.5
198,GEMMA2-27B,0.518,0.5417,0.5075,0.5683,few-shot,1,2,1,0.5
199,GEMMA2-27B,0.5113,0.5397,0.5074,0.5755,few-shot,2,2,1,0.2
200,QWEN2.5_14B,0.5615,0.5587,0.5073,0.5396,few-shot,2,1,1,0.5
201,GEMMA2-9B,0.559,0.509,0.5069,0.5971,one-shot,1,2,2,0.0
202,QWEN2.5_14B,0.5006,0.5418,0.5068,0.6043,many-shot,3,2,2,1.0
203,GEMMA2-9B,0.568,0.5203,0.5065,0.5755,one-shot,3,1,1,0.2
204,GEMMA2-27B,0.5133,0.5393,0.5053,0.5612,few-shot,1,2,1,0.2
205,GEMMA2-27B,0.5443,0.5047,0.5052,0.5971,one-shot,1,2,1,0.5
206,GEMMA2-9B,0.6289,0.5114,0.5041,0.6115,few-shot,2,1,1,0.5
207,GEMMA2-27B,0.5148,0.5391,0.5039,0.5612,few-shot,1,2,1,0.0
208,GEMMA2-27B,0.5194,0.5019,0.5039,0.6187,one-shot,1,2,2,0.2
209,GEMMA2-9B,0.5562,0.4899,0.5037,0.6043,one-shot,2,2,2,0.5
210,GEMMA2-27B,0.5163,0.542,0.5035,0.5827,few-shot,2,2,1,1.0
211,QWEN2.5_14B,0.5892,0.4818,0.5027,0.5971,one-shot,1,1,2,0.0
212,GEMMA2-9B,0.5136,0.5102,0.5022,0.5468,one-shot,1,1,2,1.0
213,QWEN2.5_14B,0.5252,0.5169,0.5021,0.5971,one-shot,3,1,2,0.0
214,QWEN2.5_14B,0.5522,0.5544,0.5021,0.5396,few-shot,2,1,1,0.2
215,GEMMA2-27B,0.4932,0.6122,0.5016,0.5396,few-shot,1,1,1,0.0
216,QWEN2.5_14B,0.5565,0.5544,0.5014,0.5396,few-shot,2,1,1,0.0
217,GEMMA2-9B,0.5971,0.514,0.5011,0.6187,few-shot,1,1,1,0.5
218,GEMMA2-9B,0.5597,0.5003,0.501,0.5827,one-shot,1,2,2,1.0
219,QWEN2.5_14B,0.6152,0.4727,0.5002,0.6763,zero-shot,3,2,,0.5
220,GEMMA2-9B,0.5285,0.505,0.5001,0.5468,one-shot,2,1,2,0.2
221,QWEN2.5_14B,0.5868,0.4795,0.4998,0.5899,one-shot,1,1,2,0.2
222,GEMMA2-9B,0.5636,0.4815,0.499,0.6043,one-shot,3,2,2,1.0
223,GEMMA2-9B,0.5293,0.501,0.4987,0.5468,one-shot,1,1,2,0.0
224,GEMMA2-9B,0.6198,0.5048,0.4984,0.6043,few-shot,2,1,1,0.2
225,QWEN2.5_14B,0.5215,0.5105,0.4978,0.5899,one-shot,3,1,2,0.5
226,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,1.0
227,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,0.0
228,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,0.2
229,GEMMA2-27B,0.5043,0.5137,0.496,0.5324,few-shot,3,2,1,0.0
230,GEMMA2-27B,0.5043,0.5137,0.496,0.5324,few-shot,3,2,1,0.2
231,GEMMA2-9B,0.5409,0.4803,0.4954,0.5755,one-shot,3,1,2,0.2
232,GEMMA2-9B,0.5507,0.4808,0.4954,0.6043,zero-shot,1,2,,0.2
233,GEMMA2-9B,0.525,0.501,0.4954,0.5468,one-shot,1,1,2,0.5
234,GEMMA2-27B,0.533,0.4852,0.4947,0.5899,one-shot,1,2,1,0.0
235,GEMMA2-27B,0.533,0.4852,0.4947,0.5899,one-shot,1,2,1,0.2
236,GEMMA2-9B,0.5423,0.4899,0.4943,0.5899,zero-shot,3,2,,0.0
237,GEMMA2-9B,0.5426,0.4899,0.4935,0.5899,zero-shot,3,2,,0.2
238,GEMMA2-9B,0.5414,0.4977,0.4929,0.5755,one-shot,1,2,2,0.2
239,GEMMA2-9B,0.5216,0.4969,0.4921,0.5468,one-shot,1,1,2,0.2
240,GEMMA2-9B,0.5488,0.4849,0.4909,0.5827,one-shot,2,2,1,0.2
241,GEMMA2-9B,0.5323,0.4876,0.4907,0.5827,zero-shot,3,2,,0.5
242,GEMMA2-9B,0.5567,0.4858,0.4904,0.5899,one-shot,2,2,1,1.0
243,GEMMA2-27B,0.495,0.5135,0.49,0.5612,few-shot,2,2,1,0.0
244,QWEN2.5_14B,0.6068,0.4725,0.4899,0.6259,zero-shot,3,1,,0.2
245,QWEN2.5_14B,0.6062,0.4725,0.4892,0.6259,zero-shot,3,1,,0.0
246,QWEN2.5_14B,0.6058,0.4725,0.4885,0.6259,zero-shot,3,1,,0.5
247,QWEN2,0.5551,0.5361,0.4879,0.5108,many-shot,1,2,1,0.0
248,GEMMA2-27B,0.4953,0.509,0.4875,0.518,few-shot,3,2,1,0.5
249,GEMMA2-9B,0.5163,0.4963,0.4869,0.5324,one-shot,2,1,2,0.0
250,QWEN2.5_14B,0.5088,0.4892,0.4868,0.6475,many-shot,3,1,2,0.2
251,QWEN2.5_14B,0.5088,0.4892,0.4868,0.6475,many-shot,3,1,2,0.0
252,QWEN2.5_14B,0.6045,0.4685,0.4866,0.6259,zero-shot,3,1,,1.0
253,GEMMA2-9B,0.5372,0.4856,0.4862,0.5899,zero-shot,3,2,,1.0
254,LLAMA3.1,0.6121,0.4461,0.4845,0.6331,one-shot,1,2,2,0.5
255,GEMMA2-9B,0.5426,0.4782,0.4834,0.5755,one-shot,2,2,1,0.0
256,GEMMA2-9B,0.5171,0.4838,0.4834,0.5468,one-shot,2,1,2,0.5
257,QWEN2.5_14B,0.502,0.5113,0.4826,0.554,one-shot,3,1,1,0.2
258,GEMMA2-27B,0.5009,0.4753,0.482,0.6187,one-shot,2,2,2,0.2
259,GEMMA2-27B,0.5009,0.4753,0.482,0.6187,one-shot,1,2,2,0.0
260,GEMMA2-27B,0.4991,0.477,0.4812,0.6115,one-shot,2,2,2,0.5
261,MISTRAL_NEMO,0.5801,0.4455,0.4811,0.6259,one-shot,3,2,1,0.2
262,QWEN2.5_14B,0.4955,0.4937,0.4809,0.6619,few-shot,1,2,1,0.0
263,MISTRAL_NEMO,0.5095,0.4952,0.4803,0.6187,few-shot,3,2,1,0.2
264,GEMMA2-9B,0.5719,0.4902,0.4801,0.5899,one-shot,2,1,1,0.2
265,QWEN2.5_14B,0.4947,0.4937,0.4799,0.6619,few-shot,1,2,1,0.2
266,QWEN2.5_14B,0.4976,0.4805,0.479,0.6331,many-shot,3,1,2,0.5
267,GEMMA2-9B,0.5665,0.4902,0.4789,0.5899,one-shot,2,1,1,0.0
268,GEMMA2-9B,0.5262,0.4759,0.4778,0.5683,one-shot,2,2,1,0.5
269,MISTRAL_NEMO,0.5765,0.4432,0.4777,0.6187,one-shot,3,2,1,0.0
270,GEMMA2-27B,0.4755,0.5677,0.4763,0.5108,few-shot,1,1,1,1.0
271,QWEN2.5_14B,0.4847,0.5072,0.4763,0.554,one-shot,3,1,1,1.0
272,QWEN2.5_14B,0.4855,0.5072,0.4759,0.554,one-shot,3,1,1,0.0
273,QWEN2.5_14B,0.5083,0.4771,0.4751,0.5827,one-shot,3,1,2,0.2
274,QWEN2,0.5211,0.5259,0.475,0.4964,few-shot,3,2,2,0.0
275,QWEN2.5_14B,0.5532,0.4621,0.4745,0.5899,one-shot,1,1,2,0.5
276,GEMMA2-9B,0.5568,0.4541,0.4738,0.6043,zero-shot,1,2,,0.0
277,QWEN2,0.5256,0.5106,0.4737,0.5036,many-shot,3,2,2,0.0
278,GEMMA2-9B,0.5676,0.4861,0.4729,0.5899,one-shot,2,1,1,0.5
279,GEMMA2-9B,0.5326,0.4513,0.4729,0.5899,one-shot,3,2,1,0.2
280,GEMMA2-9B,0.5192,0.4541,0.4723,0.5612,one-shot,3,1,2,0.0
281,GEMMA2-27B,0.5672,0.4511,0.4722,0.5971,zero-shot,3,1,,0.2
282,QWEN2.5_14B,0.4991,0.5563,0.4707,0.4892,many-shot,2,1,1,1.0
283,QWEN2.5_14B,0.488,0.563,0.4706,0.4964,many-shot,2,1,1,0.5
284,GEMMA2-9B,0.5566,0.5074,0.4703,0.5612,one-shot,2,1,1,1.0
285,GEMMA2-9B,0.53,0.4455,0.4696,0.5971,one-shot,3,2,1,1.0
286,GEMMA2-9B,0.5566,0.502,0.4691,0.5827,few-shot,3,1,1,1.0
287,GEMMA2-9B,0.5521,0.4498,0.4681,0.6043,zero-shot,1,2,,1.0
288,GEMMA2-9B,0.4754,0.477,0.4673,0.5971,few-shot,1,2,2,0.2
289,GEMMA2-27B,0.5576,0.4464,0.4658,0.5827,zero-shot,3,1,,0.0
290,GEMMA2-27B,0.5556,0.4447,0.4654,0.5899,zero-shot,3,1,,0.5
291,LLAMA3.1,0.5101,0.4525,0.4643,0.5612,many-shot,3,2,2,0.2
292,MISTRAL_NEMO,0.4921,0.4647,0.4642,0.6043,few-shot,3,2,1,0.0
293,QWEN2.5_14B,0.4741,0.4924,0.4641,0.5612,one-shot,3,1,1,0.5
294,LLAMA3.1,0.5097,0.4527,0.4621,0.5612,many-shot,3,2,2,0.0
295,LLAMA3.1,0.5115,0.447,0.4619,0.5612,many-shot,3,2,2,0.5
