unique_id,citation_context,citation_class_label,predicted_classes,non_cleaned_prediction
W06-1104_25,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( Lesk , 1986 ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( @@CITATION@@ ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,,various approaches for computing semantic relatedness of words or concepts have been
W05-0709_17,"Both tasks are performed with a statistical framework : the mention detection system is similar to the one presented in ( Florian et al. , 2004 ) and the coreference resolution system is similar to the one described in ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,"both tasks, namely mention detection and coreference resolution, are executed within"
D08-1007_56,The advantage of tuning similarity to the application of interest has been shown previously by @@CITATION@@ .,COMPARES_CONTRASTS,,the benefits of tailoring similarity measures to specific applications have been demonstrated in
J91-2003_5,"Although there are other discussions of the paragraph as a central element of discourse ( e.g. @@CITATION@@ , Halliday and Hasan 1976 , Longacre 1979 , Haberlandt et al. 1980 ) , all of them share a certain limitation in their formal techniques for analyzing paragraph structure .",COMPARES_CONTRASTS,,although there are other discussions about the importance of paragraphs as central
W01-0706_31,"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; @@CITATION@@ ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .",BACKGROUND,,class: natural language processing (nlp) and statistical par
P07-1068_26,"We experiment with four learners commonly employed in language learning : Decision List ( DL ) : We use the DL learner as described in Collins and Singer ( 1999 ) , motivated by its success in the related tasks of word sense disambiguation ( @@CITATION@@ ) and NE classification ( Collins and Singer , 1999 ) .",MOTIVATION,,"the experimentation with four learners commonly employed in language learning, including"
P02-1001_29,"A central technique is to define a joint relation as a noisy-channel model , by composing a joint relation with a cascade of one or more conditional relations as in Fig. 1 ( @@CITATION@@ ; Knight and Graehl , 1998 ) .",BACKGROUND,,"the central technique mentioned is the noisy channel model, which involves defining"
D08-1004_8,"We use the same set of binary features as in previous work on this dataset ( Pang et al. , 2002 ; @@CITATION@@ ; Zaidan et al. , 2007 ) .",USES,USES,the paper you mentioned likely uses a specific set of binary features for text
W06-1639_7,"Our classification framework , directly inspired by @@CITATION@@ , integrates both perspectives , optimizing its labeling of speech segments based on both individual speech-segment classification scores and preferences for groups of speech segments to receive the same label .",USES,,"the proposed classification framework, influenced by [author et al., year],"
J13-1008_18,"As for work on Arabic ( MSA ) , results have been reported on the PATB ( Kulick , Gabbard , and Marcus 2006 ; Diab 2007 ; @@CITATION@@ ) , the Prague Dependency Treebank ( PADT ) ( Buchholz and Marsi 2006 ; Nivre 2008 ) and the CATiB ( Habash and Roth 2009 ) .",BACKGROUND,,class: natural language processing/computational linguistics. these
J02-3002_28,"For instance , @@CITATION@@ report that the SATZ system ( decision tree variant ) was trained on a set of about 800 labeled periods , which corresponds to a corpus of about 16,000 words .",COMPARES_CONTRASTS,,"the class for this text could be ""natural language processing"""
P11-1134_35,"One possible direction is to consider linguistically motivated approaches , such as the extraction of syntactic phrase tables as proposed by ( @@CITATION@@ ) .",FUTURE,,one potential approach for enhancing natural language understanding and generation tasks in
N10-1084_8,"Later works , such as Atallah et al. ( 2001a ) , @@CITATION@@ , Taskiran et al. ( 2006 ) and Topkara et al. ( 2006b ) , further made use of part-ofspeech taggers and electronic dictionaries , such as WordNet and VerbNet , to increase the robustness of the method .",BACKGROUND,,"later works, such as atallah et al. (20"
J86-1002_15,"A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , @@CITATION@@ , Lea 1980 , Lowerre and Reddy 1980 , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .",COMPARES_CONTRASTS,,a number of speech understanding systems have been developed during the past fifteen years
E03-1002_15,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; @@CITATION@@ ; Bod , 2001 ) .",COMPARES_CONTRASTS,,the bottom panel of table 1 presents the performance results for a selected
W03-0806_13,"The basic Python reflection has already been implemented and used for large scale experiments with POS tagging , using pyMPI ( a message passing interface library for Python ) to coordinate experiments across a cluster of over 100 machines ( @@CITATION@@ ; Clark et al. , 2003 ) .",BACKGROUND,,reflection in python refers to the ability of a program to examine and
P97-1063_9,"This imbalance foils thresholding strategies , clever as they might be ( Gale & Church , 1991 ; Wu & Xia , 1994 ; @@CITATION@@ ) .",BACKGROUND,,the sentence refers to the challenges that arise when using thresholding strateg
W01-0706_23,"Training was done on the Penn Treebank ( @@CITATION@@ ) Wall Street Journal data , sections 02-21 .",USES,,"the training for natural language processing models, such as part-of-"
P11-1134_11,We performed Latent Semantic Analysis ( LSA ) over Wikipedia using the jLSI tool ( @@CITATION@@ ) to measure the relatedness between words in the dataset .,USES,,"the class for this sentence could be ""computer science and information technology"
D12-1027_11,"For example , our previous work ( @@CITATION@@ ; Nakov and Ng , 2012 ) experimented with various techniques for combining a small bi-text for a resource-poor language ( Indonesian or Spanish , pretending that Spanish is resource-poor ) with a much larger bi-text for a related resource-rich language ( Malay or Portuguese ) ; the target language of all bi-texts was English .",COMPARES_CONTRASTS,,the study conducted by nakov and ng in 2012
W06-1104_20,"Various approaches for computing semantic relatedness of words or concepts have been proposed , e.g. dictionary-based ( @@CITATION@@ ) , ontology-based ( Wu and Palmer , 1994 ; Leacock and Chodorow , 1998 ) , information-based ( Resnik , 1995 ; Jiang and Conrath , 1997 ) or distributional ( Weeds and Weir , 2005 ) .",BACKGROUND,,various approaches for computing semantic relatedness of words or concepts have been
D13-1115_14,"Another line of research approaches grounded language knowledge by augmenting distributional approaches of word meaning with perceptual information ( Andrews et al. , 2009 ; Steyvers , 2010 ; Feng and Lapata , 2010b ; Bruni et al. , 2011 ; Silberer and Lapata , 2012 ; Johns and Jones , 2012 ; @@CITATION@@a ; Bruni et al. , 2012b ; Silberer et al. , 2013 ) .",BACKGROUND,,another line of research in the field of grounded language knowledge combines
W06-1104_6,@@CITATION@@ replicated the experiment of Rubenstein and Goodenough with the original 65 word pairs translated into German .,BACKGROUND,,"in this scenario, a researcher named ""@@citation@"""
P00-1012_6,"One approach to this more general problem , taken by the ` Nitrogen ' generator ( @@CITATION@@a ; Langkilde and Knight , 1998b ) , takes advantage of standard statistical techniques by generating a lattice of all possible strings given a semantic representation as input and selecting the most likely output using a bigram language model .",USES,,"the nitrogen generator, developed in 1998"
W05-0709_7,"where mk is one mention in entity e , and the basic model building block PL ( L = 1 | e , mk , m ) is an exponential or maximum entropy model ( @@CITATION@@ ) .",USES,,class: natural language processing (nlp) / machine learning mod
J09-4010_29,"13 We also employed sequence-based measures using the ROUGE tool set ( @@CITATION@@ ) , with similar results to those obtained with the word-by-word measures .",USES,,the sentence discusses a research methodology wherein the authors used sequence
W06-3309_9,"Second , using continuous distributions allows us to leverage a variety of tools ( e.g. , LDA ) that have been shown to be successful in other fields , such as speech recognition ( @@CITATION@@ ) .",BACKGROUND,,"continuous distributions, like the gaussian or normal distribution, are widely"
J13-1008_16,"In this section , we validate the contribution of key tag sets and morphological features -- and combinations thereof -- using a different parser : the Easy-First Parser ( @@CITATION@@ ) .",USES,,the text discusses the validation process for assessing the significance of various
N04-2004_11,"The typical solution to the redundancy problem is to group verbs according to their argument realization patterns ( @@CITATION@@ ) , possibly arranged in an inheritance hierarchy .",COMPARES_CONTRASTS,,one common approach to addressing the issue of redundancy when dealing with
J91-2003_25,"Later , @@CITATION@@ , 1982 ) proposed a knowledge base in which information about language and the world would be encoded , and he emphasized the need for using `` salience '' in choosing facts from this knowledge base .",BACKGROUND,,class: computational linguistics/natural language processing (
W00-1312_3,Another technique is automatic discovery of translations from parallel or non-parallel corpora ( @@CITATION@@ ) .,BACKGROUND,,another technique for machine translation involves the automatic discovery of translations from parallel
W04-1805_2,ASARES is presented in detail in ( @@CITATION@@ ) .,USES,,class: artificial satellite attitude reconstruction and est
J91-2003_20,"Opposition ( called `` adversative '' or `` contrary-to-expectation '' by @@CITATION@@ ; cfXXX also Quirk et al. 1972 , p. 672 ) .",BACKGROUND,,"the term ""opposition"" can be referred to as ""advers"
W04-1805_8,A number of applications have relied on distributional analysis ( @@CITATION@@ ) in order to build classes of semantically related terms .,BACKGROUND,,distributional analysis is a method used for studying the semantic relationships between words
J13-1008_39,"Previous work with MaltParser in Russian , Turkish , and Hindi showed gains with CASE but not with agreement features ( Eryigit , Nivre , and Oflazer 2008 ; Nivre , Boguslavsky , and Iomdin 2008 ; @@CITATION@@ ) .",COMPARES_CONTRASTS,,"based on the provided information, it seems that previous work with malt"
J97-4003_46,"Consider , for example , the lexical rule in Figure 2 , which encodes a passive lexical rule like the one presented by @@CITATION@@ , 215 ) in terms of the setup of Pollard and Sag ( 1994 , ch .",COMPARES_CONTRASTS,,one example of a passive lexical rule that can be encoded using
J09-4010_46,"Two applications that , like help-desk , deal with question -- answer pairs are : summarization of e-mail threads ( Dalli , Xia , and Wilks 2004 ; @@CITATION@@ ) , and answer extraction in FAQs ( Frequently Asked Questions ) ( Berger and Mittal 2000 ;",COMPARES_CONTRASTS,,"two applications that deal with question-answer pairs, similar to help des"
D13-1115_26,"The language grounding problem has received significant attention in recent years , owed in part to the wide availability of data sets ( e.g. Flickr , Von Ahn ( 2006 ) ) , computing power , improved computer vision models ( Oliva and Torralba , 2001 ; Lowe , 2004 ; @@CITATION@@ ; Parikh and Grauman , 2011 ) and neurological evidence of ties between the language , perceptual and motor systems in the brain ( Pulverm Â¨ uller et al. , 2005 ; Tettamanti et al. , 2005 ; Aziz-Zadeh et al. , 2006 ) .",BACKGROUND,,"the language grounding problem, which pertains to the challenge of"
Q13-1020_1,"In addition , we find that the Bayesian SCFG grammar can not even significantly outperform the heuristic SCFG grammar ( @@CITATION@@ ) 5 .",COMPARES_CONTRASTS,,"based on the information provided, it appears that in this particular case,"
W01-1510_19,"There are several grammars developed in the FB-LTAG formalism , including the XTAG English grammar , a large-scale grammar for English ( The XTAG Research @@CITATION@@ ) .",BACKGROUND,,class: natural language processing and computational linguistics. the
A00-2022_15,"Although the approach may have potential , the shifting of complex accounting into the unification algorithm is at variance with the findings of @@CITATION@@ , who report large speed-ups from the elimination of disjunction processing during unification .",COMPARES_CONTRASTS,,"despite its possible benefits, incorporating intricate accounting processes within the"
J10-3007_34,"For the task of unsupervised dependency parsing , @@CITATION@@ add a constraint of the form `` the average length of dependencies should be X '' to capture the locality of syntax ( at least half of the dependencies are between adjacent words ) , using a scheme they call structural annealing .",BACKGROUND,,task: unsupervised dependency parsing with structural annealing
A00-1016_5,"The speech and language processing architecture is based on that of the SRI CommandTalk system ( @@CITATION@@ ; Stent et a. , 1999 ) .",USES,,"the class for this statement can be categorized as ""academic"
P11-1134_21,"Second , in line with the findings of ( @@CITATION@@ ) , the results obtained over the MT-derived corpus are equal to those we achieve over the original RTE3 dataset ( i.e. 63.50 % ) .",COMPARES_CONTRASTS,,the sentence provided discusses a comparison between performance metrics on two different datasets
W06-1104_14,"Therefore , inter-subject correlation is lower than the results obtained by @@CITATION@@ .",COMPARES_CONTRASTS,,"based on these findings, we can conclude that the inter-subject"
N04-2004_21,"There is a general consensus among theoretical linguists that the proper representation of verbal argument structure is event structure -- representations grounded in a theory of events that decompose semantic roles in terms of primitive predicates representing concepts such as causality and inchoativity ( Dowty , 1979 ; Jackendoff , 1983 ; Pustejovsky , 1991b ; Rappaport @@CITATION@@ ) .",BACKGROUND,,"class: theoretical linguistics

in the field of"
J00-4001_32,"For example , some similar measures have been used in stylistic experiments in information retrieval on the basis of a robust parser built for information retrieval purposes ( @@CITATION@@ ) .",BACKGROUND,,class: information retrieval and natural language processing techniques
D08-1039_12,"The resulting training procedure is analogous to the one presented in ( Brown et al. , 1993 ) and ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,"the resulting training procedure can be described as follows, which is similar to"
J92-1004_28,"successfully parses , or until a quitting criterion is reached , such as an upper bound on N. Whereas in the loosely coupled system the parser acts as a filter only on completed candidate solutions ( @@CITATION@@ ) , the tightly coupled system allows the parser to discard partial theories that have no way of continuing .",USES,,"in both systems, parsing plays an essential role in generating and evaluating"
Q13-1020_32,@@CITATION@@ substituted the non-terminal X in hierarchical phrase-based model by extended syntactic categories .,COMPARES_CONTRASTS,,in a hierarchical phrase-based (hpb) statistical machine
J01-4001_19,"Much of the earlier work in anaphora resolution heavily exploited domain and linguistic knowledge ( @@CITATION@@ ; Carter 1987 ; Rich and LuperFoy 1988 ; Carbonell and Brown 1988 ) , which was difficult both to represent and to process , and which required considerable human input .",BACKGROUND,,class: natural language processing (nlp) in artificial
W06-2807_3,"The paradigm is `` write many , read many '' ( @@CITATION@@ ) .",BACKGROUND,,"class writemanyreadmanyparadigm {
    // this"
P10-2059_3,The Praat tool was used ( @@CITATION@@ ) .,USES,,"the praat tool, a software program for phonetic analysis of"
J06-2002_22,"2 The reader is asked to focus on any reasonable size measurement , for example , the maximal horizontal or vertical distance , or some combination of dimensions ( @@CITATION@@ ; also Section 8.1 of the present article ) .",BACKGROUND,,"class: dimensional analysis and measurement in physics

dim"
W03-0806_12,"The implementation has been inspired by experience in extracting information from very large corpora ( Curran and Moens , 2002 ) and performing experiments on maximum entropy sequence tagging ( @@CITATION@@ ; Clark et al. , 2003 ) .",MOTIVATION,,the given text appears to be a citation or reference in an academic
W06-1639_32,"Default parameters were used , although experimentation with different parameter settings is an important direction for future work ( Daelemans and Hoste , 2002 ; @@CITATION@@ ) .",FUTURE,,"class: researchguidance

the sentence suggests that the use"
K15-1002_10,Our work is inspired by the latent left-linking model in @@CITATION@@ and the ILP formulation from Chang et al. ( 2011 ) .,USES,,class: natural language processing/information extraction
W06-3309_22,"Furthermore , the availability of rich ontological resources , in the form of the Unified Medical Language System ( UMLS ) ( Lindberg et al. , 1993 ) , and the availability of software that leverages this knowledge -- MetaMap ( Aronson , 2001 ) for concept identification and SemRep ( @@CITATION@@ ) for relation extraction -- provide a foundation for studying the role of semantics in various tasks .",BACKGROUND,,the unified medical language system (umls) is an extensive
J00-2001_11,"The names given to the components vary ; they have been called `` strategic '' and `` tactical '' components ( e.g. , McKeown 1985 ; Thompson 1977 ; Danlos 1987 ) 1 , `` planning '' and `` realization '' ( e.g. , McDonald 1983 ; @@CITATION@@a ) , or simply `` what to say '' versus `` how to say it '' ( e.g. , Danlos 1987 ; Reithinger 1990 ) .",BACKGROUND,,"these components can be classified as two distinct aspects of communication strategy,"
P10-4003_2,"Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; @@CITATION@@ ; Nielsen et al. , 2008 ; VanLehn et al. , 2007 ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .",BACKGROUND,,title: the importance of tutorial dialogue systems in enhan
P10-4003_1,We use the TRIPS dialogue parser ( @@CITATION@@ ) to parse the utterances .,USES,,"the trips dialogue parser, often referred to as a state"
J09-4010_33,"In order to address these limitations in a practical way , we conducted a small user study where we asked four judges ( graduate students from the Faculty of Information Technology at Monash University ) to assess the responses generated by our system ( @@CITATION@@a ) .",USES,,title: evaluating the effectiveness of an automated response system
W00-1017_13,"The understanding module utilizes ISSS ( Incremental Significant-utterance Sequence Search ) ( @@CITATION@@b ) , which is an integrated parsing and discourse processing method .",USES,,the understanding module leverages the incremental significant ut
W01-1510_20,"We applied our system to the XTAG English grammar ( The XTAG Research @@CITATION@@ ) 3 , which is a large-scale FB-LTAG grammar for English .",USES,,our team successfully implemented and tested our system on the xtag english grammar
P11-1134_34,"After the extraction , pruning techniques ( @@CITATION@@ ) can be applied to increase the precision of the extracted paraphrases .",BACKGROUND,,"class: natural language processing, information retrieval, computational l"
D09-1053_1,"In this paper , we extend two classes of model adaptation methods ( i.e. , model interpolation and error-driven learning ) , which have been well studied in statistical language modeling for speech and natural language applications ( e.g. , @@CITATION@@ ; Bellegarda , 2004 ; Gao et al. , 2006 ) , to ranking models for Web search applications .",BACKGROUND,,"in this paper, we extend two classes of model adaptation methods that have"
W03-0806_11,GATE goes beyond earlier systems by using a component-based infrastructure ( @@CITATION@@ ) which the GUI is built on top of .,BACKGROUND,,"the statement you provided indicates that gate, an acronym for"
J91-2003_47,"Since sentences can refer to events described by other sentences , we may need also a quotation operator ; @@CITATION@@ describes how first order logic can be augmented with such an operator .",BACKGROUND,,"in the context of formal semantics and natural language processing, it is often"
P10-4003_6,"The system uses a knowledge base implemented in the KM representation language ( Clark and Porter , 1999 ; @@CITATION@@ ) to represent the state of the world .",USES,,"class: knowledgebasemanagementsystem

description: a knowledge"
W11-0218_12,A possible future direction would be to compare the query string to retrieved results using a method similar to that of @@CITATION@@ .,FUTURE,,"in this context, ""class"" refers to an object or data structure"
J97-4003_35,description-level lexical rules ( DLRs ; @@CITATION@@ ) .5 2.2.1 Meta-Level Lexical Rules .,BACKGROUND,,description-level lexical rules (dlrs) are a type
J03-3004_27,"All EBMT systems , from the initial proposal by @@CITATION@@ to the recent collection of Carl and Way ( 2003 ) , are premised on the availability of subsentential alignments derived from the input bitext .",BACKGROUND,,"the class for this statement would be ""natural language processing"""
J91-2003_30,"The necessity of this kind of merging of arguments has been recognized before : Charniak and McDermott ( 1985 ) call it abductive unification/matching , @@CITATION@@ , 1979 ) refers to such operations using the terms knitting or petty conversational implicature .",BACKGROUND,,the necessity of this kind of merging arguments has been recognized before.
J97-4003_27,"In a number of proposals , lexical generalizations are captured using lexical underspecification ( Kathol 1994 ; @@CITATION@@ ;",COMPARES_CONTRASTS,,lexical generalization refers to the process by which words and phrases
P07-1068_5,"These keywords are potentially useful features because some of them are subclasses of the ACE SCs shown in the left column of Table 1 , while others appear to be correlated with these ACE SCs .2 ( 6 ) INDUCED CLASS : Since the first-sense heuristic used in the previous feature may not be accurate in capturing the SC of an NP , we employ a corpusbased method for inducing SCs that is motivated by research in lexical semantics ( e.g. , @@CITATION@@ ) .",MOTIVATION,,these keywords are potentially useful features because some of them are subclasses of
J91-2003_1,Other psycholing-uistic studies that confirm the validity of paragraph units can be found in @@CITATION@@ and Haberlandt et al. ( 1980 ) .,BACKGROUND,,"class: linguistics

these studies are related to lingu"
E03-1002_4,"The bottom panel of table 1 lists the results for the chosen lexicalized model ( SSN-Freq > 200 ) and five recent statistical parsers ( Ratnaparkhi , 1999 ; Collins , 1999 ; Charniak , 2000 ; Collins , 2000 ; @@CITATION@@ ) .",COMPARES_CONTRASTS,,the bottom panel of table 1 presents the performance results for a selected
D09-1056_18,"Nevertheless , the full document text is present in most systems , sometimes as the only feature ( Sugiyama and Okumura , 2007 ) and sometimes in combination with others see for instance ( Chen and Martin , 2007 ; @@CITATION@@ ) - .",BACKGROUND,,"the full document text is often available on various systems, either as the"
P00-1007_28,"In a similar vain to @@CITATION@@ and Buchholz et al. ( 1999 ) , the method extends an existing flat shallow-parsing method to handle composite structures .",FUTURE,,the sentence provided refers to extending an existing parsing technique for handling more complex
P07-1068_6,"As a result , researchers have re-adopted the once-popular knowledge-rich approach , investigating a variety of semantic knowledge sources for common noun resolution , such as the semantic relations between two NPs ( e.g. , @@CITATION@@ ) , their semantic similarity as computed using WordNet ( e.g. , Poesio et al. ( 2004 ) ) or Wikipedia ( Ponzetto and Strube , 2006 ) , and the contextual role played by an NP ( see Bean and Riloff ( 2004 ) ) .",BACKGROUND,,"class: natural language processing/semantic analysis

research"
P08-1101_23,"We built a two-stage baseline system , using the perceptron segmentation model from our previous work ( @@CITATION@@ ) and the perceptron POS tagging model from Collins ( 2002 ) .",EXTENDS,,the class in this context seems to be an academic or research paper discuss
J07-1005_3,"Note that although our current system uses MeSH headings assigned by human indexers , manually assigned terms can be replaced with automatic processing if needed ( @@CITATION@@ ) .",FUTURE,,class: health sciences/medical information systems and informatics.
W02-0309_11,"Furthermore , medical terminology is characterized by a typical mix of Latin and Greek roots with the corresponding host language ( e.g. , German ) , often referred to as neo-classical compounding ( @@CITATION@@ ) .",BACKGROUND,,"class: medical terminology

medical terminology involves a"
J12-4003_8,"Previously ( @@CITATION@@ ) , we assessed the importance of various implicit argument feature groups by conducting feature ablation tests .",EXTENDS,,"based on the previous research mentioned (@@citation@@), we"
D10-1052_31,"To model d ( FWi â 1 , S â T ) , d ( FWi +1 , S â T ) , i.e. whether Li , S â T and Ri , S â T extend beyond the neighboring function word phrase pairs , we utilize the pairwise dominance model of @@CITATION@@ .",USES,,to represent the relationship between different linguistic elements such as fwi
J91-2003_53,"For instance , @@CITATION@@ , p. 8 ) says that the sentence `` Reagan thinks bananas , '' which is otherwise strange , is in fact acceptable if it occurs as an answer to the question `` What is Kissinger 's favorite fruit ? ''",MOTIVATION,,this example demonstrates how a seemingly odd or nonsensical
D08-1034_2,Semantic Role labeling ( SRL ) was first defined in @@CITATION@@ .,BACKGROUND,,class: natural language processing (nlp) and computational l
W06-2807_6,AJAX function lets the communication works asyncronously between a client and a server through a set of messages based on HTTP protocol and XML ( @@CITATION@@ ) .,BACKGROUND,,"class ajaxrequesthandler {
    // constructor to initialize the handler"
J01-4001_6,"The inclusion of the coreference task in the Sixth and Seventh Message Understanding Conferences ( MUC-6 and MUC-7 ) gave a considerable impetus to the development of coreference resolution algorithms and systems , such as those described in Baldwin et al. ( 1995 ) , Gaizauskas and Humphreys ( 1996 ) , and @@CITATION@@ .",BACKGROUND,,the inclusion of the coreference task in the sixth and sevent
P97-1063_27,"The most detailed evaluation of link tokens to date was performed by ( @@CITATION@@ ) , who trained Brown et al. 's Model 2 on 74 million words of the Canadian Hansards .",COMPARES_CONTRASTS,,the most comprehensive assessment of link tokens to date has been conducted
E03-1002_7,"Log-linear models have proved successful in a wide variety of applications , and are the inspiration behind one of the best current statistical parsers ( @@CITATION@@ ) .",COMPARES_CONTRASTS,,class: natural language processing (nlp) / computational l
J00-3001_2,"While we have observed reasonable results with both G2 and Fisher 's exact test , we have not yet discussed how these results compare to the results that can be obtained with a technique commonly used in corpus linguistics based on the mutual information ( MI ) measure ( @@CITATION@@ ) :",BACKGROUND,,in comparing the performance of g2 and fisher's exact
W02-0309_1,"Morphological alterations of a search term have a negative impact on the recall performance of an information retrieval ( IR ) system ( @@CITATION@@ ; J Â¨ appinen and Niemist Â¨ o , 1988 ; Kraaij and Pohlmann , 1996 ) , since they preclude a direct match between the search term proper and its morphological variants in the documents to be retrieved .",BACKGROUND,,class: information retrieval (ir) systems and morphological vari
W04-0910_21,"For shuffling paraphrases , french alternations are partially described in ( @@CITATION@@ ) and a resource is available which describes alternation and the mapping verbs/alternations for roughly 1 700 verbs .",BACKGROUND,,the sentence you've provided appears to be discussing linguistic resources
N04-2004_24,"A more recent approach , advocated by Rappaport Hovav and Levin ( 1998 ) , describes a basic set of event templates corresponding to Vendler 's event classes ( @@CITATION@@ ) : ( 3 ) a. [ x ACT <MANNER> ] ( activity ) b. [ x <STATE> ] ( state ) c. [ BECOME [ x <STATE> ] ] ( achievement ) d. [ x CAUSE [ BECOME [ x <STATE> ] ] ] ( accomplishment )",BACKGROUND,,the approach by rappaport hovav and levin (
J03-3004_35,@@CITATION@@ combines lexical and dependency mappings to form his generalizations .,BACKGROUND,,class: natural language processing (nlp) researchers or l
W04-0910_8,"Thus for instance , ( Copestake and Flickinger , 2000 ; @@CITATION@@ ) describes a Head Driven Phrase Structure Grammar ( HPSG ) which supports the parallel construction of a phrase structure ( or derived ) tree and of a semantic representation and ( Dalrymple , 1999 ) show how to equip Lexical Functional grammar ( LFG ) with a glue semantics .",BACKGROUND,,class: natural language processing (nlp) - this statement refers
D10-1052_30,"The reordering models we describe follow our previous work using function word models for translation ( Setiawan et al. , 2007 ; @@CITATION@@ ) .",EXTENDS,,the reordering models presented in this study are based on the method
E03-1005_50,"And Collins ( 2000 ) argues for `` keeping track of counts of arbitrary fragments within parse trees '' , which has indeed been carried out in @@CITATION@@ who use exactly the same set of ( all ) tree fragments as proposed in Bod ( 1992 ) .",MOTIVATION,,"class: natural language processing, computational linguistics"
